timestamp,part_id,laser_power_kw,cutting_speed_mms,head_temp_c,gas_consumption,status
2023-10-26 08:02:09,P-Usine_A-000001,4.35,103.7,53.3,10.61,STOP
2023-10-26 08:05:13,P-Usine_A-000002,3.66,94.6,42.4,13.6,RUN
2023-10-26 08:05:41,P-Usine_A-000003,4.02,96.1,45.4,13.3,RUN
2023-10-26 08:04:38,P-Usine_A-000004,4.39,117.2,59.8,12.64,RUN
2023-10-26 08:07:19,P-Usine_A-000005,3.99,98.6,54.4,13.7,RUN
2023-10-26 08:02:26,P-Usine_A-000006,4.14,87.5,45.4,12.73,RUN
2023-10-26 08:07:37,P-Usine_A-000007,4.31,110.2,42.5,,RUN
2023-10-26 08:10:20,P-Usine_A-000008,4.39,92.6,56.5,12.87,RUN
2023-10-26 08:06:29,P-Usine_A-000009,4.27,86.2,,10.99,RUN
2023-10-26 08:06:02,P-Usine_A-000010,3.96,82.7,56.9,11.68,
2023-10-26 08:15:21,P-Usine_A-000011,3.74,93.4,44.0,10.4,RUN
2023-10-26 08:08:56,P-Usine_A-000012,4.19,89.3,41.4,14.44,RUN
2023-10-26 08:09:37,P-Usine_A-000013,3.53,113.2,41.9,10.83,RUN
2023-10-26 08:10:41,P-Usine_A-000014,4.32,102.6,40.9,12.92,RUN
2023-10-26 08:18:05,P-Usine_A-000015,3.66,105.0,54.9,13.07,RUN
2023-10-26 08:13:59,P-Usine_A-000016,3.83,87.4,48.7,10.21,RUN
,P-Usine_A-000017,4.13,92.9,40.7,12.89,RUN
2023-10-26 08:14:22,P-Usine_A-000018,3.8,113.6,53.0,14.8,RUN
2023-10-26 08:18:48,P-Usine_A-000019,3.67,119.1,43.0,14.06,RUN
2023-10-26 08:22:36,P-Usine_A-000020,4.42,90.4,48.2,12.22,STOP
2023-10-26 08:17:24,P-Usine_A-000021,4.3,104.7,42.6,11.59,RUN
2023-10-26 08:22:22,P-Usine_A-000022,3.52,103.7,57.0,13.3,RUN
2023-10-26 08:25:27,P-Usine_A-000023,3.76,100.9,59.9,10.31,RUN
2023-10-26 08:25:03,P-Usine_A-000024,3.92,112.5,42.4,14.38,RUN
2023-10-26 08:25:27,P-Usine_A-000025,3.59,84.3,45.9,999.9,RUN
2023-10-26 08:26:27,P-Usine_A-000026,3.9,96.6,54.5,10.44,RUN
2023-10-26 08:26:27,P-Usine_A-000026,3.9,96.6,54.5,10.44,RUN
