timestamp,part_id,punch_force_kn,vibration_level,motor_temp_c,cycle_count,status
2023-10-26 07:58:41,P-Usine_A-000001,253.8,1.71,70.5,1,RUN
2023-10-26 08:03:59,P-Usine_A-000002,257.5,0.56,52.2,2,RUN
2023-10-26 08:03:51,P-Usine_A-000003,250.8,1.11,58.9,3,RUN
2023-10-26 08:07:13,P-Usine_A-000004,294.9,1.13,78.0,4,RUN
2023-10-26 07:59:58,P-Usine_A-000005,325.2,0.74,65.2,5,RUN
2023-10-26 08:07:06,P-Usine_A-000006,343.2,1.2,64.2,6,RUN
2023-10-26 08:07:08,P-Usine_A-000007,297.3,1.41,74.8,999.9,RUN
2023-10-26 08:04:04,P-Usine_A-000008,251.5,1.03,61.6,8,RUN
2023-10-26 08:09:57,P-Usine_A-000009,279.2,1.26,54.5,9,RUN
2023-10-26 08:10:37,P-Usine_A-000010,277.5,0.52,76.2,10,RUN
2023-10-26 08:06:38,P-Usine_A-000011,339.4,1.25,51.6,11,RUN
2023-10-26 08:15:54,P-Usine_A-000012,281.1,1.31,53.7,12,RUN
2023-10-26 08:17:35,P-Usine_A-000013,291.4,1.48,62.6,13,RUN
2023-10-26 08:15:01,P-Usine_A-000014,301.0,1.7,57.1,14,RUN
2023-10-26 08:16:25,P-Usine_A-000015,272.8,0.84,56.5,15,RUN
2023-10-26 08:17:56,P-Usine_A-000016,259.2,1.43,78.2,16,RUN
2023-10-26 08:14:08,P-Usine_A-000017,327.1,1.02,70.1,17,RUN
2023-10-26 08:14:32,P-Usine_A-000018,278.2,1.19,61.2,18,RUN
2023-10-26 08:16:13,P-Usine_A-000019,284.5,0.61,76.1,19,RUN
2023-10-26 08:17:31,P-Usine_A-000020,258.6,1.91,64.0,20,RUN
2023-10-26 08:22:13,P-Usine_A-000021,308.2,1.1,56.1,21,RUN
2023-10-26 08:27:17,P-Usine_A-000022,253.7,0.8,58.0,22,RUN
2023-10-26 08:18:25,P-Usine_A-000023,326.5,1.62,72.8,23,RUN
2023-10-26 08:29:08,P-Usine_A-000024,349.3,0.74,56.1,24,RUN
2023-10-26 08:23:41,P-Usine_A-000025,344.4,0.66,60.6,25,RUN
2023-10-26 08:22:58,P-Usine_A-000026,267.9,0.75,67.6,26,RUN
2023-10-26 08:31:46,P-Usine_A-000027,334.0,1.24,69.7,27,RUN
2023-10-26 08:26:01,P-Usine_A-000028,315.9,1.26,67.9,28,RUN
2023-10-26 08:26:58,P-Usine_A-000029,280.5,0.68,77.7,29,RUN
2023-10-26 08:33:06,P-Usine_A-000030,267.1,0.82,65.7,30,RUN
2023-10-26 08:32:29,P-Usine_A-000031,253.3,1.81,54.5,31,RUN
2023-10-26 08:36:33,P-Usine_A-000032,343.9,1.7,68.7,32,RUN
2023-10-26 08:30:57,P-Usine_A-000033,289.3,1.1,79.6,33,RUN
2023-10-26 08:32:47,P-Usine_A-000034,346.9,1.64,65.8,34,RUN
2023-10-26 08:38:35,P-Usine_A-000035,338.0,1.97,70.8,35,RUN
2023-10-26 08:36:24,P-Usine_A-000036,348.3,0.56,53.0,36,RUN
2023-10-26 08:33:32,P-Usine_A-000037,288.3,1.6,56.6,37,RUN
2023-10-26 08:33:32,P-Usine_A-000037,288.3,1.6,56.6,37,RUN
2023-10-26 08:38:10,P-Usine_A-000038,282.5,1.58,68.7,38,RUN
2023-10-26 08:38:42,P-Usine_A-000039,259.7,0.6,57.3,39,RUN
2023-10-26 08:41:25,P-Usine_A-000040,259.1,1.53,63.6,40,RUN
