timestamp,part_id,applied_pressure_bar,target_angle,actual_angle,hydraulic_temp_c
2023-10-26 08:03:31,P-Usine_A-000001,204.5,90.0,90.04,46.7
2023-10-26 07:57:18,P-Usine_A-000002,219.0,90.0,90.28,52.8
2023-10-26 08:07:24,P-Usine_A-000003,217.7,90.0,89.97,64.9
2023-10-26 08:07:51,P-Usine_A-000004,207.8,90.0,90.4,55.3
2023-10-26 08:09:22,P-Usine_A-000005,195.6,90.0,90.22,64.7
2023-10-26 08:04:08,P-Usine_A-000006,203.1,90.0,89.88,49.1
2023-10-26 08:07:42,P-Usine_A-000007,198.1,90.0,89.94,46.5
2023-10-26 08:04:46,P-Usine_A-000008,194.7,90.0,89.98,45.1
2023-10-26 08:05:36,P-Usine_A-000009,215.4,90.0,90.72,51.3
2023-10-26 08:14:57,P-Usine_A-000010,194.4,90.0,89.97,55.4
2023-10-26 08:07:33,P-Usine_A-000011,190.4,,89.23,56.0
2023-10-26 08:09:36,P-Usine_A-000012,216.2,90.0,89.73,61.9
2023-10-26 08:15:04,P-Usine_A-000013,207.4,90.0,90.98,45.4
2023-10-26 08:14:08,P-Usine_A-000014,211.1,90.0,89.41,61.1
,P-Usine_A-000015,192.2,90.0,89.74,45.1
2023-10-26 08:16:59,P-Usine_A-000016,182.8,90.0,90.76,52.1
2023-10-26 08:14:07,P-Usine_A-000017,189.6,90.0,89.37,64.0
2023-10-26 08:16:16,P-Usine_A-000018,213.0,90.0,90.04,45.2
2023-10-26 08:16:00,P-Usine_A-000019,216.2,90.0,89.37,55.8
2023-10-26 08:23:44,P-Usine_A-000020,202.1,90.0,89.92,58.3
2023-10-26 08:24:48,P-Usine_A-000021,211.9,90.0,89.38,48.3
2023-10-26 08:27:09,P-Usine_A-000022,205.2,90.0,90.13,65.0
2023-10-26 08:21:02,P-Usine_A-000023,187.8,90.0,88.81,46.9
2023-10-26 08:23:08,P-Usine_A-000024,185.2,90.0,89.77,48.9
2023-10-26 08:23:08,P-Usine_A-000024,185.2,90.0,89.77,48.9
2023-10-26 08:22:53,P-Usine_A-000025,202.0,90.0,89.91,49.1
2023-10-26 08:29:40,P-Usine_A-000026,189.7,90.0,90.04,57.3
2023-10-26 08:24:31,P-Usine_A-000027,201.8,90.0,90.41,63.3
2023-10-26 08:28:35,P-Usine_A-000028,182.7,90.0,90.23,63.4
2023-10-26 08:25:10,P-Usine_A-000029,216.9,90.0,89.7,57.5
2023-10-26 08:26:41,P-Usine_A-000030,193.9,90.0,90.21,60.2
2023-10-26 08:30:04,P-Usine_A-000031,192.6,90.0,89.29,58.0
2023-10-26 08:29:43,P-Usine_A-000032,205.1,,90.22,60.0
2023-10-26 08:37:00,P-Usine_A-000033,215.2,90.0,90.24,54.0
2023-10-26 08:33:54,P-Usine_A-000034,191.0,90.0,90.28,61.8
2023-10-26 08:30:38,P-Usine_A-000035,198.9,90.0,90.28,55.8
2023-10-26 08:37:50,P-Usine_A-000036,198.9,90.0,89.47,60.4
2023-10-26 08:35:56,P-Usine_A-000037,186.4,90.0,90.34,64.3
2023-10-26 08:35:15,P-Usine_A-000038,199.1,90.0,90.34,50.9
2023-10-26 08:43:39,P-Usine_A-000039,203.9,90.0,90.17,63.4
2023-10-26 08:43:16,P-Usine_A-000040,202.4,90.0,89.47,54.4
2023-10-26 08:43:16,P-Usine_A-000040,202.4,90.0,89.47,54.4
2023-10-26 08:43:49,P-Usine_A-000041,208.9,90.0,89.96,47.8
2023-10-26 08:41:07,P-Usine_A-000042,209.1,90.0,89.08,57.0
