timestamp,batch_id,oven_temp_c,immersion_time_sec,coating_thickness_um,energy_kwh
2023-10-26 08:00:44,B-Usine_A-0001,457.9,233.0,118.3,22.57
2023-10-26 07:58:50,B-Usine_A-0001,457.2,197.0,85.0,19.15
2023-10-26 08:01:12,B-Usine_A-0001,444.3,194.0,95.3,24.91
2023-10-26 08:04:31,B-Usine_A-0001,440.2,190.0,99.5,18.55
2023-10-26 08:01:40,B-Usine_A-0001,451.1,192.0,114.6,20.29
2023-10-26 08:02:34,B-Usine_A-0001,451.9,205.0,105.7,24.26
2023-10-26 08:09:15,B-Usine_A-0001,451.5,209.0,94.2,21.63
2023-10-26 08:08:17,B-Usine_A-0001,450.9,212.0,118.9,24.12
2023-10-26 08:09:47,B-Usine_A-0001,457.3,230.0,113.4,24.16
2023-10-26 08:14:47,B-Usine_A-0001,457.7,232.0,83.0,23.18
2023-10-26 08:15:38,B-Usine_A-0002,454.5,224.0,93.0,18.11
2023-10-26 08:12:29,B-Usine_A-0002,455.5,236.0,101.0,19.19
2023-10-26 08:14:32,B-Usine_A-0002,459.9,235.0,103.4,15.21
2023-10-26 08:15:47,B-Usine_A-0002,441.6,229.0,86.7,23.71
2023-10-26 08:11:36,B-Usine_A-0002,455.3,208.0,81.2,19.78
2023-10-26 08:16:39,B-Usine_A-0002,443.0,192.0,88.1,21.95
2023-10-26 08:17:30,B-Usine_A-0002,448.7,233.0,96.7,18.0
2023-10-26 08:18:30,B-Usine_A-0002,459.8,191.0,115.0,19.01
2023-10-26 08:16:28,B-Usine_A-0002,446.4,189.0,82.1,999.9
2023-10-26 08:18:18,B-Usine_A-0002,447.2,187.0,87.1,16.31
2023-10-26 08:16:55,B-Usine_A-0003,444.5,222.0,99.9,17.96
2023-10-26 08:18:56,B-Usine_A-0003,999.9,239.0,85.9,20.18
2023-10-26 08:27:32,B-Usine_A-0003,458.7,225.0,101.9,17.1
2023-10-26 08:23:53,B-Usine_A-0003,458.6,199.0,111.3,23.59
2023-10-26 08:24:24,B-Usine_A-0003,453.9,190.0,86.2,
2023-10-26 08:31:00,B-Usine_A-0003,445.5,209.0,108.5,24.68
2023-10-26 08:26:09,B-Usine_A-0003,440.3,184.0,105.1,24.91
2023-10-26 08:24:30,B-Usine_A-0003,441.5,225.0,87.8,16.66
2023-10-26 08:28:26,B-Usine_A-0003,459.6,201.0,105.4,15.69
2023-10-26 08:27:35,B-Usine_A-0003,441.9,194.0,98.1,22.62
2023-10-26 08:35:44,B-Usine_A-0004,459.9,204.0,105.5,19.65
2023-10-26 08:32:54,B-Usine_A-0004,453.4,185.0,101.8,16.93
2023-10-26 08:36:12,B-Usine_A-0004,455.5,186.0,87.2,19.54
2023-10-26 08:34:24,B-Usine_A-0004,448.2,196.0,97.1,16.1
2023-10-26 08:38:40,B-Usine_A-0004,443.0,211.0,81.9,22.51
2023-10-26 08:38:40,B-Usine_A-0004,443.0,211.0,81.9,22.51
2023-10-26 08:32:22,B-Usine_A-0004,448.4,196.0,119.3,17.66
2023-10-26 08:36:41,B-Usine_A-0004,446.3,229.0,80.9,22.47
2023-10-26 08:39:16,B-Usine_A-0004,454.2,203.0,112.8,24.68
2023-10-26 08:43:59,B-Usine_A-0004,452.7,181.0,85.0,20.36
2023-10-26 08:40:52,B-Usine_A-0004,444.9,217.0,103.3,19.91
2023-10-26 08:43:42,B-Usine_A-0005,453.7,196.0,93.8,18.19
2023-10-26 08:44:06,B-Usine_A-0005,444.6,186.0,106.0,22.75
2023-10-26 08:42:57,B-Usine_A-0005,448.8,221.0,82.0,19.61
2023-10-26 08:44:46,B-Usine_A-0005,442.2,217.0,87.8,22.49
2023-10-26 08:44:55,B-Usine_A-0005,456.5,231.0,94.9,20.29
2023-10-26 08:47:28,B-Usine_A-0005,448.2,192.0,118.6,17.36
2023-10-26 08:46:22,B-Usine_A-0005,447.9,193.0,90.1,19.64
2023-10-26 08:47:45,B-Usine_A-0005,444.8,204.0,95.5,16.23
2023-10-26 08:54:17,B-Usine_A-0005,459.9,213.0,118.1,23.86
2023-10-26 08:46:42,B-Usine_A-0005,456.4,231.0,85.2,18.71
2023-10-26 08:54:55,B-Usine_A-0006,442.3,186.0,110.6,18.14
2023-10-26 08:51:52,B-Usine_A-0006,451.7,214.0,90.4,15.75
2023-10-26 08:56:15,B-Usine_A-0006,440.6,210.0,110.5,21.4
2023-10-26 08:51:01,B-Usine_A-0006,442.5,220.0,109.2,19.8
2023-10-26 08:57:32,B-Usine_A-0006,449.7,202.0,107.2,20.89
2023-10-26 08:56:05,B-Usine_A-0006,447.0,238.0,109.8,15.99
2023-10-26 08:56:28,B-Usine_A-0006,453.1,225.0,89.0,18.87
2023-10-26 08:57:00,B-Usine_A-0006,455.1,193.0,116.6,22.01
2023-10-26 08:57:00,B-Usine_A-0006,455.1,193.0,116.6,22.01
2023-10-26 08:57:03,B-Usine_A-0006,446.0,210.0,113.4,23.54
2023-10-26 08:58:00,B-Usine_A-0006,457.5,232.0,96.7,17.6
2023-10-26 08:58:12,B-Usine_A-0007,448.7,208.0,88.7,24.09
2023-10-26 09:01:02,B-Usine_A-0007,455.9,210.0,98.0,21.26
2023-10-26 08:59:15,B-Usine_A-0007,442.9,196.0,111.1,15.98
2023-10-26 09:04:47,B-Usine_A-0007,441.8,199.0,99.9,16.29
2023-10-26 09:02:04,B-Usine_A-0007,445.7,211.0,107.2,17.19
2023-10-26 09:11:23,B-Usine_A-0007,441.3,183.0,118.2,22.02
2023-10-26 09:06:10,B-Usine_A-0007,455.7,214.0,96.8,20.3
2023-10-26 09:07:09,B-Usine_A-0007,451.3,200.0,87.3,21.26
2023-10-26 09:10:36,B-Usine_A-0007,448.6,237.0,95.0,20.21
2023-10-26 09:10:36,B-Usine_A-0007,448.6,237.0,95.0,20.21
2023-10-26 09:10:31,B-Usine_A-0007,448.5,238.0,103.4,24.0
2023-10-26 09:09:48,B-Usine_A-0008,452.8,216.0,98.8,22.81
2023-10-26 09:10:16,B-Usine_A-0008,459.2,220.0,101.1,19.18
2023-10-26 09:10:04,B-Usine_A-0008,444.3,223.0,94.1,22.12
2023-10-26 09:13:34,B-Usine_A-0008,459.8,189.0,96.6,19.51
2023-10-26 09:17:38,B-Usine_A-0008,455.2,189.0,108.8,19.14
2023-10-26 09:20:17,B-Usine_A-0008,458.1,229.0,97.7,19.81
2023-10-26 09:20:17,B-Usine_A-0008,458.1,229.0,97.7,19.81
2023-10-26 09:15:52,B-Usine_A-0008,445.5,214.0,114.0,17.24
2023-10-26 09:21:23,B-Usine_A-0008,448.7,188.0,106.7,15.06
2023-10-26 09:20:33,B-Usine_A-0008,459.6,194.0,97.6,999.9
2023-10-26 09:15:16,B-Usine_A-0008,449.6,190.0,95.8,17.3
2023-10-26 09:22:54,B-Usine_A-0009,440.6,192.0,111.0,17.96
2023-10-26 09:26:23,B-Usine_A-0009,448.8,194.0,114.9,17.04
2023-10-26 09:20:22,B-Usine_A-0009,455.5,227.0,101.1,18.43
2023-10-26 09:20:22,B-Usine_A-0009,455.5,227.0,101.1,18.43
2023-10-26 09:22:56,B-Usine_A-0009,455.8,190.0,119.4,24.14
2023-10-26 09:19:57,B-Usine_A-0009,442.9,226.0,109.3,19.13
2023-10-26 09:29:59,B-Usine_A-0009,447.0,235.0,90.7,17.16
2023-10-26 09:25:40,B-Usine_A-0009,456.8,192.0,105.6,23.67
2023-10-26 09:23:08,B-Usine_A-0009,457.4,188.0,84.1,15.32
2023-10-26 09:27:09,B-Usine_A-0009,445.5,215.0,86.0,20.87
2023-10-26 09:28:43,,446.3,210.0,96.2,22.15
2023-10-26 09:31:46,B-Usine_A-0010,444.0,197.0,89.7,18.81
2023-10-26 09:35:59,B-Usine_A-0010,459.3,186.0,92.0,22.27
2023-10-26 09:32:06,B-Usine_A-0010,449.8,235.0,97.5,22.65
2023-10-26 09:38:19,B-Usine_A-0010,448.8,196.0,107.8,19.28
2023-10-26 09:31:24,B-Usine_A-0010,442.5,208.0,88.0,20.26
2023-10-26 09:39:59,B-Usine_A-0010,440.4,223.0,93.2,16.1
2023-10-26 09:32:31,B-Usine_A-0010,442.0,239.0,85.2,19.99
2023-10-26 09:36:53,B-Usine_A-0010,450.9,211.0,105.7,23.4
2023-10-26 09:39:37,B-Usine_A-0010,443.9,235.0,107.0,18.33
2023-10-26 09:44:34,B-Usine_A-0010,456.1,230.0,80.5,999.9
2023-10-26 09:42:37,B-Usine_A-0011,456.1,200.0,103.7,20.64
2023-10-26 09:42:05,B-Usine_A-0011,447.2,231.0,115.9,17.0
2023-10-26 09:47:47,B-Usine_A-0011,454.8,200.0,102.8,19.37
2023-10-26 09:47:27,B-Usine_A-0011,458.0,199.0,109.0,21.69
2023-10-26 09:40:47,B-Usine_A-0011,447.9,185.0,98.4,18.48
2023-10-26 09:41:34,B-Usine_A-0011,444.8,202.0,88.3,22.56
2023-10-26 09:49:12,B-Usine_A-0011,449.7,198.0,90.4,17.55
2023-10-26 09:45:11,B-Usine_A-0011,445.5,190.0,115.7,23.38
2023-10-26 09:45:39,B-Usine_A-0011,456.8,183.0,104.4,20.6
2023-10-26 09:54:30,B-Usine_A-0011,446.8,226.0,103.6,15.2
2023-10-26 09:48:45,B-Usine_A-0012,457.3,211.0,99.8,15.73
