timestamp,part_id,final_angle_measure,visual_score,is_conform,rebut_reason
2023-10-26 08:00:29,P-Usine_A-000001,90.04,6,1,
2023-10-26 08:01:48,P-Usine_A-000002,90.28,1,0,Visual Defect
2023-10-26 08:01:01,P-Usine_A-000003,89.97,9,1,
2023-10-26 08:01:01,P-Usine_A-000003,89.97,9,1,
2023-10-26 08:00:12,P-Usine_A-000004,90.4,5,1,
2023-10-26 08:01:05,P-Usine_A-000005,999.9,3,0,Visual Defect
2023-10-26 08:03:40,P-Usine_A-000006,89.88,7,1,
2023-10-26 08:11:31,P-Usine_A-000007,89.94,5,1,
2023-10-26 08:06:14,P-Usine_A-000008,89.98,2,0,Visual Defect
2023-10-26 08:11:14,P-Usine_A-000009,90.72,1,0,Visual Defect
2023-10-26 08:08:51,P-Usine_A-000010,,6,1,
2023-10-26 08:12:31,P-Usine_A-000011,89.23,8,1,
2023-10-26 08:15:27,P-Usine_A-000012,89.73,9,1,
2023-10-26 08:13:50,P-Usine_A-000013,90.98,1,0,Visual Defect
2023-10-26 08:15:14,P-Usine_A-000014,89.41,5,1,
2023-10-26 08:16:20,P-Usine_A-000015,89.74,2,0,Visual Defect
2023-10-26 08:20:29,P-Usine_A-000016,90.76,9,1,
2023-10-26 08:18:18,P-Usine_A-000017,89.37,8,1,
2023-10-26 08:18:18,P-Usine_A-000017,89.37,8,1,
2023-10-26 08:15:14,P-Usine_A-000018,90.04,7,1,
2023-10-26 08:15:33,P-Usine_A-000019,89.37,5,1,
2023-10-26 08:15:46,P-Usine_A-000020,89.92,2,0,Visual Defect
2023-10-26 08:22:29,P-Usine_A-000021,89.38,3,0,Visual Defect
2023-10-26 08:25:18,P-Usine_A-000022,90.13,2,0,Visual Defect
2023-10-26 08:25:18,P-Usine_A-000022,90.13,2,0,Visual Defect
2023-10-26 08:26:25,P-Usine_A-000023,88.81,6,1,999.9
2023-10-26 08:21:31,P-Usine_A-000024,89.77,9,1,
2023-10-26 08:25:31,P-Usine_A-000025,89.91,4,1,
2023-10-26 08:29:06,P-Usine_A-000026,90.04,1,0,Visual Defect
2023-10-26 08:30:25,P-Usine_A-000027,90.41,9,1,
2023-10-26 08:23:46,P-Usine_A-000028,90.23,3,0,Visual Defect
2023-10-26 08:32:47,P-Usine_A-000029,89.7,9,1,
2023-10-26 08:31:00,P-Usine_A-000030,90.21,1,0,Visual Defect
2023-10-26 08:31:58,P-Usine_A-000031,89.29,7,1,
2023-10-26 08:32:46,P-Usine_A-000032,90.22,7,1,
2023-10-26 08:32:22,P-Usine_A-000033,90.24,10,1,
2023-10-26 08:37:17,P-Usine_A-000034,90.28,,0,Visual Defect
2023-10-26 08:34:45,P-Usine_A-000035,90.28,10,1,
2023-10-26 08:33:54,P-Usine_A-000036,89.47,4,1,
2023-10-26 08:37:58,P-Usine_A-000037,90.34,5,1,
2023-10-26 08:43:14,P-Usine_A-000038,90.34,4,1,
2023-10-26 08:36:50,P-Usine_A-000039,90.17,9,1,
2023-10-26 08:41:17,P-Usine_A-000040,89.47,8,1,
2023-10-26 08:41:05,P-Usine_A-000041,89.96,2,0,Visual Defect
2023-10-26 08:40:49,P-Usine_A-000042,89.08,8,1,
2023-10-26 08:47:28,P-Usine_A-000043,89.71,1,0,Visual Defect
2023-10-26 08:45:51,P-Usine_A-000044,89.63,3,0,Visual Defect
2023-10-26 08:44:39,P-Usine_A-000045,90.35,2,0,Visual Defect
2023-10-26 08:43:01,P-Usine_A-000046,90.18,8,1,
2023-10-26 08:43:15,P-Usine_A-000047,90.35,8,1,
2023-10-26 08:50:54,P-Usine_A-000048,90.41,9,1,
2023-10-26 08:50:28,P-Usine_A-000049,89.85,9,1,
2023-10-26 08:50:06,P-Usine_A-000050,90.46,2,0,Visual Defect
2023-10-26 08:48:39,P-Usine_A-000051,90.16,2,0,Visual Defect
2023-10-26 08:50:31,P-Usine_A-000052,89.36,1,0,Visual Defect
2023-10-26 08:51:08,P-Usine_A-000053,89.81,3,0,Visual Defect
2023-10-26 08:52:31,P-Usine_A-000054,90.26,5,1,
2023-10-26 08:53:43,P-Usine_A-000055,89.73,2,0,Visual Defect
2023-10-26 08:53:18,P-Usine_A-000056,90.55,7,1,
2023-10-26 09:00:44,P-Usine_A-000057,89.69,2,0,Visual Defect
2023-10-26 09:03:31,P-Usine_A-000058,89.59,7,1,
2023-10-26 08:55:13,P-Usine_A-000059,89.71,1,0,Visual Defect
2023-10-26 09:01:26,P-Usine_A-000060,89.94,5,1,
2023-10-26 09:03:53,P-Usine_A-000061,90.3,10,1,
2023-10-26 08:59:05,P-Usine_A-000062,90.61,5,1,
2023-10-26 08:59:25,P-Usine_A-000063,90.49,10,1,
2023-10-26 09:00:25,P-Usine_A-000064,89.96,7,1,
2023-10-26 09:05:41,P-Usine_A-000065,89.48,2,0,Visual Defect
2023-10-26 09:11:40,P-Usine_A-000066,89.56,2,0,Visual Defect
2023-10-26 09:09:31,P-Usine_A-000067,89.66,5,1,
2023-10-26 09:06:20,P-Usine_A-000068,89.84,10,1,
2023-10-26 09:11:15,P-Usine_A-000069,89.43,5,1,
2023-10-26 09:14:10,P-Usine_A-000070,89.93,8,1,
2023-10-26 09:16:29,P-Usine_A-000071,90.64,7,1,
2023-10-26 09:13:30,P-Usine_A-000072,90.17,6,1,
2023-10-26 09:13:48,P-Usine_A-000073,90.2,1,0,Visual Defect
2023-10-26 09:10:55,P-Usine_A-000074,89.41,9,1,
2023-10-26 09:10:30,P-Usine_A-000075,90.5,5,1,
2023-10-26 09:10:30,P-Usine_A-000075,90.5,5,1,
2023-10-26 09:16:19,P-Usine_A-000076,90.57,10,1,
2023-10-26 09:16:45,P-Usine_A-000077,89.62,8,1,
2023-10-26 09:20:09,P-Usine_A-000078,89.47,7,1,
2023-10-26 09:19:51,P-Usine_A-000079,89.63,4,1,
2023-10-26 09:17:32,P-Usine_A-000080,90.05,9,1,
2023-10-26 09:21:20,P-Usine_A-000081,89.71,1,0,Visual Defect
2023-10-26 09:20:36,P-Usine_A-000082,90.35,6,1,
2023-10-26 09:27:28,P-Usine_A-000083,90.14,5,1,
2023-10-26 09:21:55,P-Usine_A-000084,89.5,9,1,
2023-10-26 09:25:21,P-Usine_A-000085,89.93,3,0,Visual Defect
2023-10-26 09:30:51,P-Usine_A-000086,90.19,3,0,Visual Defect
2023-10-26 09:24:49,P-Usine_A-000087,91.45,5,1,
2023-10-26 09:26:11,P-Usine_A-000088,89.57,3,0,Visual Defect
2023-10-26 09:32:20,P-Usine_A-000089,90.06,6,1,
2023-10-26 09:26:41,P-Usine_A-000090,88.77,8,1,
2023-10-26 09:34:45,P-Usine_A-000091,89.83,5,1,
2023-10-26 09:27:34,P-Usine_A-000092,90.6,2,0,Visual Defect
2023-10-26 09:30:33,P-Usine_A-000093,90.35,5,1,
2023-10-26 09:30:57,P-Usine_A-000094,89.95,6,1,
2023-10-26 09:30:36,P-Usine_A-000095,90.65,10,1,
2023-10-26 09:33:42,P-Usine_A-000096,90.03,3,0,Visual Defect
2023-10-26 09:36:33,P-Usine_A-000097,90.39,10,1,
2023-10-26 09:36:33,P-Usine_A-000097,90.39,10,1,
2023-10-26 09:34:40,P-Usine_A-000098,90.17,6,999.9,
2023-10-26 09:44:15,P-Usine_A-000099,90.04,9,1,
2023-10-26 09:41:16,P-Usine_A-000100,89.06,8,1,
2023-10-26 09:39:13,P-Usine_A-000101,90.5,2,0,Visual Defect
2023-10-26 09:39:07,P-Usine_A-000102,90.34,999.9,1,
2023-10-26 09:41:16,P-Usine_A-000103,90.12,1,0,999.9
2023-10-26 09:42:47,P-Usine_A-000104,89.68,9,1,
2023-10-26 09:45:09,P-Usine_A-000105,90.51,2,0,Visual Defect
2023-10-26 09:45:09,P-Usine_A-000105,90.51,2,0,Visual Defect
2023-10-26 09:49:39,P-Usine_A-000106,90.51,1,0,Visual Defect
2023-10-26 09:47:11,P-Usine_A-000107,89.83,5,1,
2023-10-26 09:44:52,P-Usine_A-000108,89.87,3,0,Visual Defect
2023-10-26 09:49:02,P-Usine_A-000109,89.83,10,1,
2023-10-26 09:46:58,P-Usine_A-000110,90.46,1,0,Visual Defect
2023-10-26 09:50:25,P-Usine_A-000111,89.67,5,1,
2023-10-26 09:53:46,P-Usine_A-000112,90.61,2,0,Visual Defect
2023-10-26 09:51:32,P-Usine_A-000113,90.05,6,1,
2023-10-26 09:58:08,P-Usine_A-000114,90.37,8,1,
2023-10-26 09:53:40,P-Usine_A-000115,89.73,3,0,Visual Defect
2023-10-26 09:55:37,P-Usine_A-000116,89.23,7,1,
2023-10-26 09:57:24,P-Usine_A-000117,90.88,7,1,
2023-10-26 09:56:22,P-Usine_A-000118,89.36,5,1,
2023-10-26 09:55:52,P-Usine_A-000119,88.71,3,0,Visual Defect
2023-10-26 10:00:38,P-Usine_A-000120,89.71,2,0,Visual Defect
2023-10-26 10:02:30,P-Usine_A-000121,89.88,3,0,Visual Defect
2023-10-26 10:06:39,P-Usine_A-000122,89.59,7,1,
2023-10-26 10:06:09,P-Usine_A-000123,89.58,9,1,
2023-10-26 10:02:27,P-Usine_A-000124,89.54,6,1,
2023-10-26 10:03:50,P-Usine_A-000125,90.05,1,0,Visual Defect
2023-10-26 10:02:53,P-Usine_A-000126,90.08,6,1,
2023-10-26 10:02:53,P-Usine_A-000126,90.08,6,1,
2023-10-26 10:08:06,P-Usine_A-000127,999.9,8,1,
2023-10-26 10:10:58,P-Usine_A-000128,89.69,3,0,Visual Defect
2023-10-26 10:10:54,P-Usine_A-000129,89.98,7,1,
2023-10-26 10:14:15,P-Usine_A-000130,89.69,5,1,
2023-10-26 10:13:59,P-Usine_A-000131,89.36,3,0,Visual Defect
2023-10-26 10:13:59,P-Usine_A-000131,89.36,3,0,Visual Defect
2023-10-26 10:09:41,P-Usine_A-000132,91.15,4,1,
2023-10-26 10:14:39,P-Usine_A-000133,90.21,6,1,
2023-10-26 10:12:10,P-Usine_A-000134,90.33,1,0,Visual Defect
2023-10-26 10:13:22,P-Usine_A-000135,89.54,9,1,
2023-10-26 10:11:36,P-Usine_A-000136,90.47,8,1,
2023-10-26 10:21:29,P-Usine_A-000137,89.98,3,0,Visual Defect
2023-10-26 10:15:54,P-Usine_A-000138,89.44,3,0,Visual Defect
2023-10-26 10:23:29,P-Usine_A-000139,89.53,2,0,Visual Defect
2023-10-26 10:15:44,P-Usine_A-000140,89.78,6,1,
2023-10-26 10:25:59,P-Usine_A-000141,89.96,10,1,
2023-10-26 10:20:57,P-Usine_A-000142,89.68,8,1,
2023-10-26 10:24:30,P-Usine_A-000143,90.31,6,1,
2023-10-26 10:27:30,P-Usine_A-000144,89.77,7,1,
