timestamp,part_id,temps_cycle_sec,pression_outil_bar,vitesse_rotation_outil_rpm,taux_reprise_manuelle,defauts_surface_detectes
2023-10-26 08:32:19,P-Usine_A-000001,27.3,4.3,1544,NON,0
2023-10-26 08:35:47,P-Usine_A-000002,31.4,5.5,1560,NON,0
2023-10-26 08:36:25,P-Usine_A-000003,27.6,4.6,1513,OUI,1
2023-10-26 08:37:15,P-Usine_A-000004,34.7,5.6,1556,NON,0
2023-10-26 08:40:38,P-Usine_A-000005,32.1,4.6,1510,NON,0
2023-10-26 08:41:40,P-Usine_A-000006,29.7,5.9,1522,NON,
2023-10-26 08:46:07,P-Usine_A-000007,34.6,5.9,1556,NON,0
2023-10-26 08:42:05,P-Usine_A-000008,32.3,4.8,1525,NON,0
2023-10-26 08:48:54,P-Usine_A-000009,31.7,5.7,1581,NON,0
2023-10-26 08:50:22,P-Usine_A-000010,31.9,4.1,1554,NON,0
2023-10-26 08:48:10,P-Usine_A-000011,34.3,4.4,1550,NON,0
2023-10-26 08:46:54,P-Usine_A-000012,27.4,5.0,1536,NON,0
2023-10-26 08:48:46,P-Usine_A-000013,32.8,6.0,1582,NON,0
2023-10-26 08:44:38,P-Usine_A-000014,32.4,5.7,1551,NON,0
2023-10-26 08:48:44,P-Usine_A-000015,25.7,5.3,1560,OUI,2
2023-10-26 08:46:59,P-Usine_A-000016,29.6,4.7,1503,OUI,0
2023-10-26 08:53:33,P-Usine_A-000017,32.4,4.4,1593,NON,0
2023-10-26 08:51:19,P-Usine_A-000018,31.9,5.0,1507,NON,0
2023-10-26 08:54:22,P-Usine_A-000019,33.5,4.8,1506,NON,0
2023-10-26 08:59:53,P-Usine_A-000020,34.9,5.1,1532,NON,0
2023-10-26 08:54:20,P-Usine_A-000021,29.9,5.9,1543,NON,0
2023-10-26 08:53:10,P-Usine_A-000022,33.8,5.5,1506,NON,0
2023-10-26 08:59:00,P-Usine_A-000023,28.4,4.8,1587,NON,2
2023-10-26 08:58:01,P-Usine_A-000024,28.2,4.3,1548,NON,0
2023-10-26 08:59:55,P-Usine_A-000025,31.7,4.5,1588,NON,3
2023-10-26 08:59:24,P-Usine_A-000026,28.2,4.7,1549,NON,0
2023-10-26 09:06:50,P-Usine_A-000027,27.2,5.3,1545,NON,0
2023-10-26 09:06:50,P-Usine_A-000027,27.2,5.3,1545,NON,0
2023-10-26 09:02:06,P-Usine_A-000028,31.8,5.8,1553,NON,0
2023-10-26 09:05:17,P-Usine_A-000029,30.6,4.7,1518,NON,0
2023-10-26 09:01:50,P-Usine_A-000030,29.1,5.3,1500,NON,0
2023-10-26 09:05:23,P-Usine_A-000031,34.0,5.9,1563,NON,0
2023-10-26 09:10:50,P-Usine_A-000032,26.6,4.7,1551,NON,0
2023-10-26 09:05:12,P-Usine_A-000033,32.5,5.8,1549,NON,0
2023-10-26 09:07:30,P-Usine_A-000034,25.6,5.0,1596,NON,0
2023-10-26 09:12:45,P-Usine_A-000035,35.0,4.6,1513,NON,0
2023-10-26 09:08:13,P-Usine_A-000036,31.9,4.1,1528,NON,0
2023-10-26 09:06:58,P-Usine_A-000037,27.6,5.1,1513,NON,0
2023-10-26 09:08:17,P-Usine_A-000038,27.4,4.9,1575,NON,0
2023-10-26 09:16:39,P-Usine_A-000039,32.8,5.8,1534,NON,2
2023-10-26 09:12:05,P-Usine_A-000040,25.6,5.9,1564,NON,0
2023-10-26 09:19:12,P-Usine_A-000041,30.9,4.0,1596,NON,0
2023-10-26 09:20:35,P-Usine_A-000042,27.2,4.5,1540,NON,0
2023-10-26 09:15:13,P-Usine_A-000043,27.2,5.7,1544,NON,0
2023-10-26 09:17:20,P-Usine_A-000044,29.8,4.5,1509,NON,0
2023-10-26 09:15:39,P-Usine_A-000045,,4.4,1507,NON,0
2023-10-26 09:17:07,P-Usine_A-000046,32.1,5.9,1512,NON,0
2023-10-26 09:21:10,P-Usine_A-000047,25.5,5.1,1582,NON,999.9
2023-10-26 09:24:57,P-Usine_A-000048,25.1,6.0,1577,NON,0
2023-10-26 09:26:20,P-Usine_A-000049,32.1,4.7,1502,NON,0
2023-10-26 09:21:34,P-Usine_A-000050,29.1,4.6,1586,NON,0
2023-10-26 09:22:44,P-Usine_A-000051,31.4,4.3,1520,NON,0
2023-10-26 09:30:46,P-Usine_A-000052,26.1,4.8,1571,NON,0
2023-10-26 09:27:15,P-Usine_A-000053,33.9,5.5,1573,NON,0
2023-10-26 09:30:07,P-Usine_A-000054,30.6,5.8,1585,NON,0
2023-10-26 09:30:22,P-Usine_A-000055,27.5,4.5,1586,NON,0
2023-10-26 09:31:29,P-Usine_A-000056,31.5,5.9,1506,NON,0
2023-10-26 09:28:09,P-Usine_A-000057,26.8,4.0,1590,OUI,0
2023-10-26 09:28:10,P-Usine_A-000058,28.0,4.8,1597,NON,0
2023-10-26 09:33:44,P-Usine_A-000059,27.3,4.8,1558,NON,0
,P-Usine_A-000060,33.7,5.8,1574,OUI,0
2023-10-26 09:31:33,P-Usine_A-000061,31.8,5.3,1502,NON,0
2023-10-26 09:31:33,P-Usine_A-000061,31.8,5.3,1502,NON,0
2023-10-26 09:38:46,P-Usine_A-000062,32.9,6.0,1573,NON,0
2023-10-26 09:40:42,P-Usine_A-000063,28.5,4.2,1561,NON,0
2023-10-26 09:39:30,P-Usine_A-000064,27.8,5.0,1546,NON,0
2023-10-26 09:38:44,P-Usine_A-000065,29.9,5.5,1526,NON,0
2023-10-26 09:39:52,P-Usine_A-000066,26.7,4.4,1525,NON,0
2023-10-26 09:39:52,P-Usine_A-000066,26.7,4.4,1525,NON,0
2023-10-26 09:44:20,P-Usine_A-000067,25.6,5.0,1504,NON,0
2023-10-26 09:40:46,P-Usine_A-000068,25.9,4.3,1587,OUI,0
2023-10-26 09:40:23,P-Usine_A-000069,31.6,5.3,1554,OUI,0
2023-10-26 09:39:57,P-Usine_A-000070,32.2,5.6,1530,NON,0
2023-10-26 09:45:33,P-Usine_A-000071,30.2,5.0,1510,NON,0
2023-10-26 09:50:48,P-Usine_A-000072,27.4,4.7,1526,NON,0
2023-10-26 09:46:26,P-Usine_A-000073,29.9,5.5,1581,NON,0
2023-10-26 09:50:55,P-Usine_A-000074,30.7,4.2,1520,NON,0
2023-10-26 09:45:29,P-Usine_A-000075,27.9,5.2,1573,NON,0
2023-10-26 09:47:18,P-Usine_A-000076,34.4,4.3,1589,NON,0
2023-10-26 09:48:25,P-Usine_A-000077,25.5,4.3,1517,NON,0
2023-10-26 09:57:33,P-Usine_A-000078,34.7,5.2,1574,NON,0
2023-10-26 09:49:19,P-Usine_A-000079,29.4,5.0,1501,OUI,1
2023-10-26 09:51:07,P-Usine_A-000080,32.5,5.5,1541,OUI,0
2023-10-26 09:56:36,P-Usine_A-000081,33.9,5.4,1529,NON,0
2023-10-26 10:00:03,P-Usine_A-000082,30.3,4.8,1588,NON,0
2023-10-26 09:58:05,P-Usine_A-000083,33.3,5.3,1526,NON,0
2023-10-26 09:57:41,P-Usine_A-000084,28.0,5.0,1597,NON,0
2023-10-26 10:02:39,P-Usine_A-000085,26.9,4.8,1588,NON,0
2023-10-26 10:01:29,P-Usine_A-000086,32.5,5.6,1515,NON,0
2023-10-26 09:58:10,P-Usine_A-000087,29.0,4.1,1583,NON,0
2023-10-26 10:06:59,P-Usine_A-000088,26.3,,1550,OUI,0
2023-10-26 10:03:29,P-Usine_A-000089,32.6,4.0,1598,NON,0
2023-10-26 10:05:35,P-Usine_A-000090,26.4,4.2,1568,NON,0
2023-10-26 10:06:42,P-Usine_A-000091,32.9,4.2,1520,NON,0
2023-10-26 10:07:02,P-Usine_A-000092,34.2,4.6,1505,NON,0
2023-10-26 10:03:40,P-Usine_A-000093,34.3,5.7,1516,NON,1
2023-10-26 10:08:52,P-Usine_A-000094,29.7,5.5,1527,NON,0
2023-10-26 10:07:48,P-Usine_A-000095,29.5,4.5,1523,NON,0
2023-10-26 10:08:09,P-Usine_A-000096,27.2,5.3,1535,NON,0
2023-10-26 10:12:05,P-Usine_A-000097,32.6,5.1,1562,NON,0
2023-10-26 10:17:33,P-Usine_A-000098,26.8,5.1,1594,OUI,0
2023-10-26 10:13:34,P-Usine_A-000099,29.2,4.7,1552,NON,0
2023-10-26 10:13:18,P-Usine_A-000100,34.4,5.2,1547,NON,0
2023-10-26 10:20:31,P-Usine_A-000101,999.9,4.8,1529,OUI,0
2023-10-26 10:18:31,P-Usine_A-000102,28.7,5.8,1572,NON,0
2023-10-26 10:18:30,P-Usine_A-000103,34.3,6.0,999.9,NON,2
2023-10-26 10:16:06,P-Usine_A-000104,34.2,5.9,1549,NON,0
2023-10-26 10:19:44,P-Usine_A-000105,25.6,5.2,1512,NON,0
2023-10-26 10:20:22,P-Usine_A-000106,25.2,4.9,1581,NON,0
2023-10-26 10:19:03,P-Usine_A-000107,27.8,4.7,1593,NON,0
2023-10-26 10:19:19,P-Usine_A-000108,34.3,4.7,1503,NON,0
2023-10-26 10:28:58,P-Usine_A-000109,33.6,4.6,1505,NON,0
2023-10-26 10:28:10,P-Usine_A-000110,28.4,4.3,1587,NON,0
2023-10-26 10:24:36,P-Usine_A-000111,34.4,5.4,1560,NON,0
2023-10-26 10:29:10,P-Usine_A-000112,27.7,4.1,1586,NON,1
2023-10-26 10:23:34,P-Usine_A-000113,26.3,4.3,1504,NON,0
2023-10-26 10:30:39,P-Usine_A-000114,30.7,5.4,1557,NON,0
2023-10-26 10:25:34,P-Usine_A-000115,34.7,4.1,1544,NON,0
2023-10-26 10:27:02,P-Usine_A-000116,31.9,5.6,1599,NON,0
2023-10-26 10:36:12,P-Usine_A-000117,35.0,5.1,1561,NON,0
2023-10-26 10:30:32,P-Usine_A-000118,31.6,4.1,1500,NON,0
2023-10-26 10:30:50,P-Usine_A-000119,29.4,5.5,1574,NON,0
2023-10-26 10:33:28,P-Usine_A-000120,32.5,5.6,1503,OUI,0
2023-10-26 10:35:53,P-Usine_A-000121,26.6,5.4,1572,NON,0
2023-10-26 10:41:56,P-Usine_A-000122,28.3,4.9,1570,NON,0
2023-10-26 10:36:21,P-Usine_A-000123,27.2,4.1,1558,NON,0
2023-10-26 10:41:44,P-Usine_A-000124,31.2,4.6,1549,OUI,0
2023-10-26 10:42:07,P-Usine_A-000125,29.5,4.3,1573,NON,0
2023-10-26 10:41:15,P-Usine_A-000126,28.4,4.7,1595,NON,0
2023-10-26 10:39:42,P-Usine_A-000127,27.3,4.2,1542,NON,0
2023-10-26 10:47:44,P-Usine_A-000128,26.1,6.0,1520,NON,0
2023-10-26 10:40:29,P-Usine_A-000129,26.6,5.4,1591,NON,0
2023-10-26 10:44:51,P-Usine_A-000130,30.6,5.3,1581,NON,0
2023-10-26 10:48:18,P-Usine_A-000131,30.0,5.0,1565,NON,0
2023-10-26 10:48:18,P-Usine_A-000131,30.0,5.0,1565,NON,0
2023-10-26 10:47:04,P-Usine_A-000132,32.6,5.6,1514,NON,0
2023-10-26 10:49:16,P-Usine_A-000133,33.4,6.0,1574,NON,0
2023-10-26 10:46:19,P-Usine_A-000134,28.6,4.4,1545,NON,0
2023-10-26 10:49:04,P-Usine_A-000135,28.3,5.8,1568,NON,0
2023-10-26 10:53:14,P-Usine_A-000136,30.7,4.4,1567,NON,0
2023-10-26 10:54:40,P-Usine_A-000137,26.4,5.2,1523,NON,0
2023-10-26 10:55:58,P-Usine_A-000138,33.3,4.2,1586,OUI,0
2023-10-26 10:49:18,P-Usine_A-000139,30.4,4.2,,OUI,2
2023-10-26 10:57:15,P-Usine_A-000140,26.2,5.3,1574,NON,0
2023-10-26 10:55:07,P-Usine_A-000141,25.5,5.6,1534,NON,0
2023-10-26 10:59:15,P-Usine_A-000142,31.6,5.8,1552,NON,0
2023-10-26 10:56:14,P-Usine_A-000143,33.4,4.4,1500,NON,0
2023-10-26 10:56:14,P-Usine_A-000143,33.4,4.4,1500,NON,0
2023-10-26 11:00:30,P-Usine_A-000144,999.9,4.3,1556,NON,0
