timestamp,part_id,defaut_surface,microfissure,defaut_peinture,gravite_defaut,decision,photo_url
2023-10-26 08:43:03,P-Usine_A-000001,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:49:12,P-Usine_A-000002,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:43:25,P-Usine_A-000003,OUI,NON,N/A,MINEUR,RETOUCHE,http://internal-storage/P-Usine_A-000003_vis.jpg
2023-10-26 08:45:15,P-Usine_A-000004,OUI,NON,N/A,MAJEUR,REBUT,http://internal-storage/P-Usine_A-000004_vis.jpg
2023-10-26 08:53:57,P-Usine_A-000005,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:47:38,P-Usine_A-000006,OUI,NON,N/A,MINEUR,RETOUCHE,http://internal-storage/P-Usine_A-000006_vis.jpg
2023-10-26 08:49:41,P-Usine_A-000007,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:49:16,P-Usine_A-000008,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:55:07,P-Usine_A-000009,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:51:12,P-Usine_A-000010,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:56:50,P-Usine_A-000011,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:57:23,P-Usine_A-000012,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:02:20,P-Usine_A-000013,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:57:58,P-Usine_A-000014,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:03:23,P-Usine_A-000015,OUI,NON,N/A,MINEUR,RETOUCHE,http://internal-storage/P-Usine_A-000015_vis.jpg
2023-10-26 09:00:06,P-Usine_A-000016,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:05:33,P-Usine_A-000017,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:03:22,P-Usine_A-000018,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:01:13,P-Usine_A-000019,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:00:29,P-Usine_A-000020,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:02:50,P-Usine_A-000021,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:09:19,P-Usine_A-000022,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:07:31,P-Usine_A-000023,OUI,NON,N/A,MINEUR,RETOUCHE,http://internal-storage/P-Usine_A-000023_vis.jpg
2023-10-26 09:12:17,P-Usine_A-000024,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:08:14,P-Usine_A-000025,OUI,NON,N/A,MINEUR,RETOUCHE,http://internal-storage/P-Usine_A-000025_vis.jpg
2023-10-26 09:09:27,P-Usine_A-000026,NON,OUI,N/A,AUCUN,OK,
2023-10-26 09:15:57,P-Usine_A-000027,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:16:14,P-Usine_A-000028,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:15:25,P-Usine_A-000029,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:13:21,P-Usine_A-000030,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:16:46,P-Usine_A-000031,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:14:27,P-Usine_A-000032,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:15:34,P-Usine_A-000033,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:22:32,P-Usine_A-000034,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:18:38,P-Usine_A-000035,NON,999.9,N/A,AUCUN,OK,
2023-10-26 09:16:22,P-Usine_A-000036,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:19:09,P-Usine_A-000037,NON,NON,N/A,AUCUN,OK,
,P-Usine_A-000038,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:26:11,P-Usine_A-000039,OUI,NON,N/A,MINEUR,RETOUCHE,http://internal-storage/P-Usine_A-000039_vis.jpg
2023-10-26 09:27:48,P-Usine_A-000040,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:20:53,P-Usine_A-000041,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:28:06,P-Usine_A-000042,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:27:18,P-Usine_A-000043,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:26:31,P-Usine_A-000044,OUI,NON,N/A,MAJEUR,REBUT,http://internal-storage/P-Usine_A-000044_vis.jpg
2023-10-26 09:25:57,P-Usine_A-000045,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:32:03,P-Usine_A-000046,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:32:03,P-Usine_A-000046,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:31:26,P-Usine_A-000047,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:31:50,P-Usine_A-000048,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:31:00,P-Usine_A-000049,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:33:49,P-Usine_A-000050,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:39:54,P-Usine_A-000051,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:32:59,P-Usine_A-000052,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:36:23,P-Usine_A-000053,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:39:21,P-Usine_A-000054,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:37:45,P-Usine_A-000055,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:40:33,P-Usine_A-000056,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:36:41,P-Usine_A-000057,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:43:00,P-Usine_A-000058,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:41:48,P-Usine_A-000059,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:39:47,P-Usine_A-000060,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:41:10,P-Usine_A-000061,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:45:11,P-Usine_A-000062,OUI,NON,N/A,MINEUR,RETOUCHE,http://internal-storage/P-Usine_A-000062_vis.jpg
2023-10-26 09:50:22,P-Usine_A-000063,NON,OUI,N/A,AUCUN,OK,
2023-10-26 09:49:42,P-Usine_A-000064,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:46:45,P-Usine_A-000065,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:51:58,P-Usine_A-000066,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:47:17,P-Usine_A-000067,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:47:17,P-Usine_A-000067,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:55:32,P-Usine_A-000068,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:58:09,P-Usine_A-000069,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:50:21,P-Usine_A-000070,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:58:52,P-Usine_A-000071,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:55:11,P-Usine_A-000072,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:56:13,P-Usine_A-000073,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:56:47,P-Usine_A-000074,NON,NON,999.9,AUCUN,OK,
2023-10-26 10:02:53,P-Usine_A-000075,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:59:08,P-Usine_A-000076,OUI,NON,N/A,MINEUR,RETOUCHE,http://internal-storage/P-Usine_A-000076_vis.jpg
2023-10-26 10:05:27,P-Usine_A-000077,NON,NON,N/A,AUCUN,OK,
