timestamp,part_id,laser_power_kw,cutting_speed_mms,head_temp_c,gas_consumption,status
2023-10-26 07:59:01,P-Usine_B-000001,3.73,85.2,46.6,10.76,RUN
2023-10-26 08:05:51,P-Usine_B-000002,3.95,80.7,51.5,10.35,RUN
2023-10-26 08:07:41,P-Usine_B-000003,3.94,106.3,58.2,10.21,RUN
2023-10-26 07:59:01,P-Usine_B-000004,4.22,115.0,50.0,12.97,RUN
2023-10-26 08:00:59,P-Usine_B-000005,4.03,98.5,53.6,11.86,RUN
2023-10-26 08:03:11,P-Usine_B-000006,4.24,115.8,54.0,13.64,STOP
2023-10-26 08:02:09,P-Usine_B-000007,3.78,114.1,56.0,13.81,RUN
2023-10-26 08:02:50,P-Usine_B-000008,4.28,117.9,52.0,12.28,RUN
2023-10-26 08:12:48,P-Usine_B-000009,3.68,,40.6,12.25,RUN
2023-10-26 08:10:32,P-Usine_B-000010,3.9,89.0,57.6,12.03,STOP
2023-10-26 08:12:28,P-Usine_B-000011,3.79,102.9,56.9,13.34,RUN
2023-10-26 08:08:40,P-Usine_B-000012,4.34,91.8,57.4,11.35,RUN
2023-10-26 08:14:59,P-Usine_B-000013,4.08,86.5,48.7,10.45,RUN
2023-10-26 08:17:27,P-Usine_B-000014,4.15,107.6,55.1,13.19,RUN
,P-Usine_B-000015,4.27,80.8,46.3,12.75,RUN
2023-10-26 08:19:00,P-Usine_B-000016,4.12,110.8,45.1,14.39,RUN
2023-10-26 08:14:14,P-Usine_B-000017,4.14,93.7,54.4,10.46,RUN
2023-10-26 08:16:13,P-Usine_B-000018,4.4,99.3,52.7,14.97,RUN
2023-10-26 08:16:57,P-Usine_B-000019,4.43,108.1,48.3,14.23,RUN
2023-10-26 08:16:20,P-Usine_B-000020,3.53,96.5,47.8,11.17,RUN
2023-10-26 08:24:25,P-Usine_B-000021,4.38,108.2,49.0,14.0,RUN
2023-10-26 08:21:11,P-Usine_B-000022,3.59,94.3,56.0,13.55,RUN
2023-10-26 08:22:34,P-Usine_B-000023,4.05,999.9,54.6,12.1,RUN
2023-10-26 08:21:17,P-Usine_B-000024,4.42,114.1,55.0,13.66,RUN
2023-10-26 08:29:50,P-Usine_B-000025,4.43,113.0,999.9,14.1,RUN
2023-10-26 08:23:46,P-Usine_B-000026,4.13,85.0,53.3,13.63,RUN
2023-10-26 08:30:00,P-Usine_B-000027,4.07,108.2,58.5,14.98,RUN
2023-10-26 08:27:18,P-Usine_B-000028,4.17,98.4,48.9,14.38,RUN
2023-10-26 08:30:40,P-Usine_B-000029,3.69,99.0,59.6,11.55,RUN
2023-10-26 08:28:33,P-Usine_B-000030,3.84,85.2,53.3,14.04,RUN
2023-10-26 08:31:23,P-Usine_B-000031,4.43,97.6,45.2,11.2,RUN
2023-10-26 08:28:19,P-Usine_B-000032,3.87,91.9,43.2,11.86,RUN
2023-10-26 08:30:21,P-Usine_B-000033,3.54,85.7,40.2,11.51,RUN
2023-10-26 08:31:55,P-Usine_B-000034,3.69,89.6,41.4,11.51,RUN
2023-10-26 08:36:08,P-Usine_B-000035,4.09,99.1,57.8,11.29,RUN
2023-10-26 08:35:11,P-Usine_B-000036,3.73,87.1,55.0,13.15,RUN
2023-10-26 08:41:54,P-Usine_B-000037,4.47,103.6,43.4,11.74,STOP
2023-10-26 08:40:37,P-Usine_B-000038,3.89,81.7,49.6,10.43,RUN
2023-10-26 08:40:28,P-Usine_B-000039,4.16,82.2,46.6,11.6,RUN
2023-10-26 08:42:55,P-Usine_B-000040,3.97,103.0,55.0,12.5,RUN
2023-10-26 08:36:23,P-Usine_B-000041,4.28,96.3,57.3,10.01,RUN
2023-10-26 08:39:49,P-Usine_B-000042,3.79,113.6,55.1,10.82,RUN
2023-10-26 08:44:03,P-Usine_B-000043,3.7,91.1,40.0,14.34,RUN
2023-10-26 08:46:12,P-Usine_B-000044,3.77,84.6,48.1,11.95,RUN
2023-10-26 08:45:58,P-Usine_B-000045,3.8,111.2,44.9,13.95,RUN
2023-10-26 08:46:25,P-Usine_B-000046,3.79,91.7,42.7,10.7,RUN
2023-10-26 08:47:18,P-Usine_B-000047,3.74,106.7,47.8,11.89,RUN
2023-10-26 08:50:51,P-Usine_B-000048,4.07,92.9,47.1,10.23,RUN
2023-10-26 08:50:50,P-Usine_B-000049,4.46,82.7,48.0,13.85,RUN
2023-10-26 08:51:41,P-Usine_B-000050,4.42,87.8,58.6,13.33,RUN
2023-10-26 08:52:35,P-Usine_B-000051,4.32,84.5,48.7,13.06,RUN
2023-10-26 08:48:37,P-Usine_B-000052,4.4,94.2,45.7,14.02,RUN
