timestamp,part_id,id_lot_matiere,fournisseur,type_materiau,longueur_brute_theo,longueur_brute_reelle,vitesse_coupe,temp_coupe,etat_machine,duree_cycle,taux_chute
2023-10-26 07:55:53,P-Usine_B-000001,LOT-100,MetalX,Acier Inox 316L,1500.0,1500.14,103.8,248.5,RUN,42.1,2.15
2023-10-26 08:05:31,P-Usine_B-000002,LOT-100,MetalX,Acier Inox 316L,1500.0,1500.49,98.2,243.0,RUN,41.0,4.93
2023-10-26 08:03:00,P-Usine_B-000003,LOT-105,AcierPro,Acier Inox 316L,1500.0,1499.3,103.3,223.4,RUN,42.6,2.79
2023-10-26 08:02:57,P-Usine_B-000004,LOT-100,AluBest,Acier Inox 316L,1500.0,1499.67,102.2,213.8,RUN,44.8,2.25
2023-10-26 08:01:53,P-Usine_B-000005,LOT-100,AluBest,Acier Inox 316L,1500.0,1499.09,97.0,220.4,RUN,42.3,4.27
2023-10-26 08:04:25,P-Usine_B-000006,LOT-103,MetalX,Acier Inox 316L,1500.0,1499.63,102.2,208.9,RUN,49.5,3.03
2023-10-26 08:06:02,P-Usine_B-000007,LOT-103,AcierPro,Acier Inox 316L,1500.0,1499.01,95.3,249.7,RUN,46.1,4.81
2023-10-26 08:03:12,P-Usine_B-000008,LOT-102,AluBest,Acier Inox 316L,1500.0,1500.28,101.1,246.3,RUN,44.0,3.09
2023-10-26 08:13:11,P-Usine_B-000009,LOT-103,AcierPro,Acier Inox 316L,1500.0,1500.4,104.9,236.6,RUN,46.8,2.88
2023-10-26 08:05:49,P-Usine_B-000010,LOT-100,AcierPro,Acier Inox 316L,1500.0,1499.01,98.3,238.4,RUN,44.2,4.74
2023-10-26 08:13:19,P-Usine_B-000011,LOT-102,AcierPro,Acier Inox 316L,1500.0,1500.15,95.4,245.5,RUN,47.4,4.75
2023-10-26 08:12:44,P-Usine_B-000012,LOT-104,AluBest,Acier Inox 316L,1500.0,1499.54,102.8,223.0,RUN,45.9,2.04
2023-10-26 08:09:08,P-Usine_B-000013,LOT-101,AluBest,Acier Inox 316L,1500.0,1500.61,104.9,227.4,RUN,46.2,4.21
2023-10-26 08:16:07,P-Usine_B-000014,LOT-100,AluBest,Acier Inox 316L,1500.0,1499.85,100.6,209.4,RUN,43.7,2.54
2023-10-26 08:18:53,P-Usine_B-000015,LOT-102,AluBest,Acier Inox 316L,1500.0,1500.59,97.0,229.9,RUN,48.9,2.72
2023-10-26 08:11:31,P-Usine_B-000016,LOT-104,AcierPro,Acier Inox 316L,1500.0,1499.27,96.1,236.9,RUN,42.9,3.44
2023-10-26 08:11:31,P-Usine_B-000016,LOT-104,AcierPro,Acier Inox 316L,1500.0,1499.27,96.1,236.9,RUN,42.9,3.44
2023-10-26 08:12:49,P-Usine_B-000017,LOT-100,AcierPro,Acier Inox 316L,1500.0,1499.84,103.9,230.5,RUN,42.5,4.84
2023-10-26 08:16:59,P-Usine_B-000018,LOT-101,MetalX,Acier Inox 316L,1500.0,1499.99,99.6,212.8,RUN,46.2,3.63
2023-10-26 08:15:54,P-Usine_B-000019,LOT-102,AluBest,Acier Inox 316L,1500.0,1500.53,102.5,228.4,RUN,43.2,4.29
2023-10-26 08:19:50,P-Usine_B-000020,LOT-103,MetalX,Acier Inox 316L,1500.0,1499.93,95.5,231.0,RUN,44.0,4.26
2023-10-26 08:25:38,P-Usine_B-000021,LOT-101,AluBest,Acier Inox 316L,1500.0,1499.42,101.8,231.3,RUN,42.2,3.85
2023-10-26 08:22:06,P-Usine_B-000022,LOT-100,AluBest,Acier Inox 316L,1500.0,1499.28,104.9,224.7,RUN,46.3,3.59
2023-10-26 08:20:33,P-Usine_B-000023,LOT-103,MetalX,Acier Inox 316L,1500.0,1499.77,96.3,241.0,RUN,41.6,2.63
2023-10-26 08:20:51,P-Usine_B-000024,LOT-105,AcierPro,Acier Inox 316L,1500.0,1499.33,98.5,243.2,RUN,48.0,4.96
2023-10-26 08:21:59,P-Usine_B-000025,LOT-103,AluBest,Acier Inox 316L,1500.0,1500.49,999.9,211.9,RUN,43.7,3.77
2023-10-26 08:24:17,P-Usine_B-000026,LOT-105,AcierPro,Acier Inox 316L,1500.0,1500.85,104.4,210.5,RUN,42.0,4.16
2023-10-26 08:26:03,P-Usine_B-000027,LOT-102,AcierPro,Acier Inox 316L,1500.0,1499.98,96.2,245.6,RUN,48.4,2.84
2023-10-26 08:29:30,P-Usine_B-000028,LOT-103,MetalX,Acier Inox 316L,1500.0,1500.66,102.0,236.8,RUN,47.0,2.76
2023-10-26 08:25:41,P-Usine_B-000029,LOT-104,MetalX,Acier Inox 316L,1500.0,1500.27,104.9,200.7,RUN,40.0,4.02
2023-10-26 08:27:06,P-Usine_B-000030,LOT-103,MetalX,Acier Inox 316L,1500.0,1500.86,97.0,,RUN,48.5,4.91
2023-10-26 08:28:53,P-Usine_B-000031,LOT-102,AcierPro,Acier Inox 316L,1500.0,1499.95,96.5,248.8,RUN,46.0,2.44
2023-10-26 08:30:22,P-Usine_B-000032,LOT-104,MetalX,Acier Inox 316L,1500.0,1498.95,101.4,206.2,RUN,41.1,4.0
2023-10-26 08:29:04,P-Usine_B-000033,LOT-105,MetalX,Acier Inox 316L,1500.0,1499.78,100.7,228.5,RUN,43.2,3.8
2023-10-26 08:31:23,P-Usine_B-000034,LOT-101,AluBest,Acier Inox 316L,1500.0,1500.08,99.6,205.6,RUN,40.6,3.24
2023-10-26 08:33:45,P-Usine_B-000035,LOT-104,AcierPro,Acier Inox 316L,1500.0,1499.76,101.9,243.3,RUN,48.7,3.88
2023-10-26 08:37:33,P-Usine_B-000036,LOT-101,MetalX,Acier Inox 316L,1500.0,1501.09,103.7,219.4,RUN,40.2,3.54
2023-10-26 08:32:56,P-Usine_B-000037,LOT-103,MetalX,Acier Inox 316L,1500.0,1499.8,98.4,225.0,RUN,42.2,3.27
2023-10-26 08:33:24,P-Usine_B-000038,LOT-102,MetalX,Acier Inox 316L,1500.0,1499.15,104.5,247.7,RUN,40.5,2.95
2023-10-26 08:36:32,P-Usine_B-000039,LOT-101,AcierPro,Acier Inox 316L,1500.0,1500.35,104.5,245.1,RUN,45.3,2.81
2023-10-26 08:37:26,P-Usine_B-000040,LOT-104,AcierPro,Acier Inox 316L,1500.0,1500.69,100.0,207.8,RUN,49.3,3.58
2023-10-26 08:42:14,P-Usine_B-000041,LOT-103,AluBest,Acier Inox 316L,1500.0,1500.7,95.7,237.9,RUN,41.4,3.78
2023-10-26 08:39:38,P-Usine_B-000042,LOT-104,MetalX,Acier Inox 316L,1500.0,1499.56,103.4,209.7,RUN,40.7,4.82
2023-10-26 08:44:49,P-Usine_B-000043,LOT-105,MetalX,Acier Inox 316L,1500.0,1499.68,98.2,246.3,RUN,45.9,4.21
2023-10-26 08:46:40,P-Usine_B-000044,LOT-104,MetalX,Acier Inox 316L,1500.0,1500.03,100.0,233.5,RUN,42.2,4.34
2023-10-26 08:48:22,P-Usine_B-000045,LOT-104,AluBest,Acier Inox 316L,1500.0,1501.6,97.8,213.7,RUN,41.4,2.76
2023-10-26 08:44:39,P-Usine_B-000046,LOT-102,AcierPro,Acier Inox 316L,1500.0,1499.61,96.4,235.3,RUN,47.0,4.07
2023-10-26 08:44:53,P-Usine_B-000047,LOT-103,MetalX,Acier Inox 316L,1500.0,1499.23,102.3,214.9,RUN,41.2,3.5
2023-10-26 08:50:23,P-Usine_B-000048,LOT-104,AcierPro,Acier Inox 316L,,1499.9,104.7,211.7,RUN,44.2,4.87
2023-10-26 08:53:17,P-Usine_B-000049,LOT-102,AcierPro,Acier Inox 316L,1500.0,1499.61,95.9,235.0,RUN,49.3,3.53
2023-10-26 08:45:25,P-Usine_B-000050,LOT-102,AluBest,Acier Inox 316L,1500.0,1500.07,99.9,214.9,RUN,50.0,4.92
2023-10-26 08:54:59,P-Usine_B-000051,LOT-103,MetalX,Acier Inox 316L,1500.0,1499.33,97.8,220.6,RUN,44.7,4.83
2023-10-26 08:56:27,P-Usine_B-000052,LOT-103,MetalX,Acier Inox 316L,1500.0,1500.04,103.6,201.0,RUN,47.4,3.15
2023-10-26 08:53:22,P-Usine_B-000053,LOT-101,MetalX,Acier Inox 316L,1500.0,1499.78,96.4,229.9,RUN,47.6,4.57
2023-10-26 08:50:15,P-Usine_B-000054,LOT-105,AcierPro,Acier Inox 316L,1500.0,1499.92,97.9,243.2,RUN,48.3,2.91
2023-10-26 08:59:13,P-Usine_B-000055,LOT-102,AluBest,Acier Inox 316L,1500.0,1499.26,95.1,219.2,RUN,40.8,2.46
2023-10-26 08:53:07,P-Usine_B-000056,LOT-103,AluBest,Acier Inox 316L,1500.0,1500.58,97.9,217.8,RUN,45.3,4.9
2023-10-26 08:53:27,P-Usine_B-000057,LOT-100,AluBest,Acier Inox 316L,1500.0,1500.35,98.2,233.0,RUN,41.4,3.34
2023-10-26 08:56:41,P-Usine_B-000058,LOT-100,AcierPro,Acier Inox 316L,1500.0,1499.81,97.6,227.6,RUN,42.0,2.91
2023-10-26 08:55:07,P-Usine_B-000059,LOT-105,AcierPro,Acier Inox 316L,1500.0,1499.86,96.0,214.3,RUN,42.5,4.83
2023-10-26 08:58:10,P-Usine_B-000060,LOT-105,AcierPro,Acier Inox 316L,1500.0,1500.28,104.3,221.1,RUN,48.1,3.46
2023-10-26 09:05:40,P-Usine_B-000061,LOT-100,AluBest,Acier Inox 316L,1500.0,1500.35,97.1,224.1,RUN,46.9,4.31
2023-10-26 09:04:04,P-Usine_B-000062,LOT-104,AluBest,Acier Inox 316L,1500.0,1500.9,98.1,240.3,RUN,43.6,2.92
2023-10-26 09:04:23,P-Usine_B-000063,LOT-103,AcierPro,Acier Inox 316L,1500.0,1499.81,102.2,220.9,RUN,40.7,4.23
2023-10-26 09:08:45,P-Usine_B-000064,LOT-100,AluBest,Acier Inox 316L,1500.0,1499.56,103.3,230.2,RUN,43.1,2.96
2023-10-26 09:08:45,P-Usine_B-000065,LOT-104,AcierPro,Acier Inox 316L,1500.0,1500.06,98.0,207.1,RUN,43.8,4.62
2023-10-26 09:09:13,P-Usine_B-000066,LOT-102,AcierPro,Acier Inox 316L,1500.0,1499.79,102.6,210.0,RUN,43.6,3.13
2023-10-26 09:06:10,P-Usine_B-000067,LOT-102,AluBest,Acier Inox 316L,1500.0,1499.28,96.0,210.8,RUN,45.6,3.55
2023-10-26 09:05:30,P-Usine_B-000068,LOT-105,AluBest,Acier Inox 316L,1500.0,1500.27,104.0,223.9,RUN,49.2,3.1
2023-10-26 09:12:59,P-Usine_B-000069,LOT-104,AcierPro,Acier Inox 316L,1500.0,1500.17,101.8,221.5,RUN,41.4,2.23
2023-10-26 09:06:11,P-Usine_B-000070,LOT-104,MetalX,Acier Inox 316L,1500.0,1500.12,101.4,223.2,999.9,49.7,3.9
2023-10-26 09:14:27,P-Usine_B-000071,LOT-103,AcierPro,Acier Inox 316L,1500.0,1499.42,95.6,216.6,RUN,48.4,4.41
