timestamp,part_id,punch_force_kn,vibration_level,motor_temp_c,cycle_count,status
2023-10-26 08:04:48,P-Usine_B-000001,262.5,1.93,68.6,1,RUN
2023-10-26 08:02:34,P-Usine_B-000002,293.8,0.77,56.0,2,RUN
2023-10-26 07:59:56,P-Usine_B-000003,262.3,1.57,62.1,3,RUN
2023-10-26 07:59:56,P-Usine_B-000003,262.3,1.57,62.1,3,RUN
2023-10-26 08:00:21,P-Usine_B-000004,331.2,1.72,55.9,4,RUN
2023-10-26 08:01:16,P-Usine_B-000005,262.9,1.96,79.9,5,RUN
2023-10-26 08:02:58,P-Usine_B-000006,320.0,0.6,72.4,6,RUN
2023-10-26 08:06:06,P-Usine_B-000007,274.3,0.75,55.1,7,
2023-10-26 08:04:18,P-Usine_B-000008,316.0,1.98,62.3,8,RUN
2023-10-26 08:07:59,P-Usine_B-000009,298.6,1.14,71.5,9,RUN
2023-10-26 08:13:34,P-Usine_B-000010,338.0,0.87,71.8,10,RUN
2023-10-26 08:08:09,P-Usine_B-000011,266.0,0.57,58.2,11,RUN
2023-10-26 08:11:07,P-Usine_B-000012,319.4,1.08,68.1,12,RUN
2023-10-26 08:16:10,P-Usine_B-000013,288.8,0.57,78.0,13,RUN
2023-10-26 08:10:16,P-Usine_B-000014,267.4,1.92,64.8,14,RUN
2023-10-26 08:10:30,P-Usine_B-000015,306.4,1.06,72.9,15,RUN
2023-10-26 08:17:05,P-Usine_B-000016,253.0,1.61,71.8,16,RUN
2023-10-26 08:19:47,P-Usine_B-000017,336.8,0.87,50.9,17,RUN
2023-10-26 08:20:47,P-Usine_B-000018,259.1,1.34,77.0,18,
2023-10-26 08:20:10,P-Usine_B-000019,276.7,1.0,58.7,19,RUN
2023-10-26 08:20:09,P-Usine_B-000020,251.4,1.23,54.9,20,RUN
2023-10-26 08:18:05,P-Usine_B-000021,279.0,0.68,74.4,21,RUN
2023-10-26 08:20:44,P-Usine_B-000022,286.2,1.59,52.8,22,RUN
2023-10-26 08:27:10,P-Usine_B-000023,332.8,0.8,64.2,23,RUN
2023-10-26 08:23:25,P-Usine_B-000024,293.2,1.83,78.1,24,RUN
2023-10-26 08:25:38,P-Usine_B-000025,293.1,1.11,52.1,,RUN
2023-10-26 08:23:08,P-Usine_B-000026,260.0,0.82,54.3,26,RUN
2023-10-26 08:28:34,P-Usine_B-000027,279.9,1.31,79.8,27,RUN
2023-10-26 08:28:30,P-Usine_B-000028,336.2,1.98,79.4,28,RUN
2023-10-26 08:26:25,P-Usine_B-000029,258.3,1.27,70.5,29,RUN
2023-10-26 08:26:29,P-Usine_B-000030,299.3,0.65,69.3,30,RUN
2023-10-26 08:32:08,P-Usine_B-000031,259.0,1.42,56.4,31,RUN
2023-10-26 08:35:13,P-Usine_B-000032,319.8,1.38,57.5,32,RUN
2023-10-26 08:30:44,P-Usine_B-000033,278.8,0.58,52.2,33,RUN
2023-10-26 08:36:10,P-Usine_B-000034,304.8,1.29,54.7,34,RUN
2023-10-26 08:36:10,P-Usine_B-000034,304.8,1.29,54.7,34,RUN
2023-10-26 08:34:03,P-Usine_B-000035,326.5,999.9,77.2,35,RUN
2023-10-26 08:36:51,P-Usine_B-000036,323.7,0.56,66.0,36,RUN
2023-10-26 08:40:39,P-Usine_B-000037,310.0,0.57,52.6,37,RUN
2023-10-26 08:37:09,P-Usine_B-000038,293.0,1.79,65.7,38,RUN
2023-10-26 08:40:41,P-Usine_B-000039,320.1,0.77,53.9,39,RUN
2023-10-26 08:39:20,P-Usine_B-000040,329.7,1.95,73.8,40,RUN
2023-10-26 08:38:11,P-Usine_B-000041,312.7,0.57,52.2,41,RUN
2023-10-26 08:39:09,P-Usine_B-000042,310.9,1.76,79.5,42,RUN
2023-10-26 08:46:06,P-Usine_B-000043,348.1,1.11,74.7,43,RUN
2023-10-26 08:42:07,P-Usine_B-000044,270.4,1.05,58.6,44,RUN
2023-10-26 08:45:03,P-Usine_B-000045,320.5,0.73,79.1,45,RUN
2023-10-26 08:41:05,P-Usine_B-000046,284.8,1.69,58.8,46,RUN
2023-10-26 08:44:39,P-Usine_B-000047,317.8,0.74,50.3,47,RUN
2023-10-26 08:45:26,P-Usine_B-000048,348.5,1.14,67.6,48,RUN
2023-10-26 08:48:56,P-Usine_B-000049,315.0,1.3,56.9,49,RUN
2023-10-26 08:53:25,P-Usine_B-000050,279.6,1.62,61.1,50,RUN
2023-10-26 08:52:49,P-Usine_B-000051,335.5,1.54,56.1,51,RUN
2023-10-26 08:55:02,P-Usine_B-000052,289.3,1.42,58.8,52,RUN
2023-10-26 08:52:05,P-Usine_B-000053,251.8,1.26,69.7,53,RUN
2023-10-26 08:52:38,P-Usine_B-000054,284.4,1.09,52.1,54,RUN
2023-10-26 08:52:01,P-Usine_B-000055,342.7,1.09,53.6,55,RUN
2023-10-26 08:54:45,P-Usine_B-000056,318.9,0.59,74.4,56,RUN
2023-10-26 09:02:01,P-Usine_B-000057,329.5,0.66,62.2,57,RUN
2023-10-26 09:02:13,P-Usine_B-000058,288.7,1.27,71.1,58,RUN
2023-10-26 08:57:53,P-Usine_B-000059,254.7,1.4,55.5,59,RUN
2023-10-26 09:02:59,P-Usine_B-000060,287.8,1.6,52.7,60,RUN
2023-10-26 08:57:12,P-Usine_B-000061,279.2,1.71,63.3,61,RUN
2023-10-26 08:57:02,P-Usine_B-000062,295.8,1.38,78.1,62,RUN
2023-10-26 09:02:24,P-Usine_B-000063,277.3,1.48,52.5,63,RUN
2023-10-26 08:58:54,P-Usine_B-000064,269.2,1.14,77.3,64,RUN
2023-10-26 09:03:20,P-Usine_B-000065,330.2,0.51,65.7,65,RUN
2023-10-26 09:03:20,P-Usine_B-000065,330.2,0.51,65.7,65,RUN
2023-10-26 09:06:10,P-Usine_B-000066,271.4,0.89,59.3,66,RUN
2023-10-26 09:09:47,P-Usine_B-000067,310.2,1.93,64.6,67,RUN
2023-10-26 09:10:52,P-Usine_B-000068,333.7,1.21,79.5,68,RUN
2023-10-26 09:11:43,P-Usine_B-000069,282.7,0.56,61.7,69,RUN
2023-10-26 09:13:35,P-Usine_B-000070,334.3,1.49,78.9,70,RUN
2023-10-26 09:05:52,P-Usine_B-000071,305.7,1.74,57.9,71,RUN
2023-10-26 09:12:38,P-Usine_B-000072,254.0,0.69,51.0,72,RUN
2023-10-26 09:13:02,P-Usine_B-000073,266.3,1.47,61.5,73,RUN
2023-10-26 09:16:49,P-Usine_B-000074,325.1,0.85,50.5,74,RUN
2023-10-26 09:12:54,P-Usine_B-000075,291.0,1.88,60.5,75,RUN
2023-10-26 09:13:45,P-Usine_B-000076,294.2,1.29,75.2,76,RUN
2023-10-26 09:14:42,P-Usine_B-000077,297.3,0.76,60.0,77,RUN
2023-10-26 09:12:39,P-Usine_B-000078,305.1,0.61,70.4,78,RUN
2023-10-26 09:15:01,P-Usine_B-000079,299.5,0.62,78.2,79,RUN
2023-10-26 09:18:48,P-Usine_B-000080,252.2,1.07,62.7,80,RUN
2023-10-26 09:19:06,P-Usine_B-000081,318.6,0.72,58.4,81,RUN
2023-10-26 09:22:13,P-Usine_B-000082,286.3,1.74,64.2,82,RUN
2023-10-26 09:24:20,P-Usine_B-000083,295.5,0.97,52.3,83,RUN
2023-10-26 09:19:07,P-Usine_B-000084,296.0,1.05,71.5,84,RUN
2023-10-26 09:22:07,P-Usine_B-000085,261.5,1.28,71.4,85,RUN
2023-10-26 09:27:26,P-Usine_B-000086,287.7,0.74,61.9,86,RUN
2023-10-26 09:25:35,P-Usine_B-000087,257.4,1.2,78.7,87,RUN
2023-10-26 09:31:21,P-Usine_B-000088,263.3,1.86,52.6,88,RUN
2023-10-26 09:27:47,P-Usine_B-000089,311.2,1.38,72.2,89,RUN
2023-10-26 09:24:49,P-Usine_B-000090,323.1,1.75,55.8,90,RUN
2023-10-26 09:26:11,P-Usine_B-000091,272.9,1.96,67.7,999.9,RUN
2023-10-26 09:26:16,P-Usine_B-000092,294.1,1.48,,92,RUN
2023-10-26 09:36:48,P-Usine_B-000093,324.5,0.93,77.3,93,RUN
2023-10-26 09:34:40,P-Usine_B-000094,258.0,1.93,64.9,94,RUN
2023-10-26 09:31:48,P-Usine_B-000095,257.0,1.18,76.6,95,RUN
2023-10-26 09:37:24,P-Usine_B-000096,294.3,1.91,58.9,96,RUN
2023-10-26 09:32:23,P-Usine_B-000097,263.9,1.31,68.6,97,RUN
2023-10-26 09:35:45,P-Usine_B-000098,311.3,0.76,66.7,98,RUN
2023-10-26 09:37:13,P-Usine_B-000099,282.9,0.55,66.4,99,RUN
2023-10-26 09:34:48,P-Usine_B-000100,253.2,0.63,60.7,100,RUN
2023-10-26 09:42:27,P-Usine_B-000101,320.2,1.39,76.5,101,RUN
2023-10-26 09:45:08,P-Usine_B-000102,262.8,1.55,66.3,102,RUN
2023-10-26 09:45:34,P-Usine_B-000103,259.8,1.39,55.6,103,RUN
2023-10-26 09:42:51,P-Usine_B-000104,315.5,1.56,77.9,104,RUN
2023-10-26 09:49:17,P-Usine_B-000105,276.0,1.31,70.0,105,RUN
2023-10-26 09:49:22,P-Usine_B-000106,266.7,1.14,58.2,,RUN
2023-10-26 09:46:31,P-Usine_B-000107,252.5,1.86,77.6,107,RUN
2023-10-26 09:51:39,P-Usine_B-000108,266.6,1.88,54.5,108,RUN
2023-10-26 09:52:41,P-Usine_B-000109,270.2,1.06,50.8,109,RUN
2023-10-26 09:52:13,P-Usine_B-000110,306.9,1.89,50.1,110,RUN
2023-10-26 09:50:44,P-Usine_B-000111,348.1,1.62,67.9,111,RUN
2023-10-26 09:52:54,P-Usine_B-000112,298.9,0.62,79.6,112,RUN
2023-10-26 09:51:27,P-Usine_B-000113,294.9,1.13,72.0,113,RUN
2023-10-26 09:50:24,P-Usine_B-000114,297.8,0.73,50.7,114,RUN
2023-10-26 09:56:06,P-Usine_B-000115,297.4,0.71,74.7,115,RUN
2023-10-26 09:57:21,P-Usine_B-000116,294.7,1.98,57.7,116,RUN
2023-10-26 09:56:03,P-Usine_B-000117,336.0,1.4,68.0,117,RUN
2023-10-26 09:57:19,P-Usine_B-000118,266.8,0.92,999.9,118,RUN
2023-10-26 09:56:22,P-Usine_B-000119,268.4,1.35,75.6,119,RUN
2023-10-26 09:56:43,P-Usine_B-000120,335.3,1.04,56.1,120,RUN
2023-10-26 09:57:31,P-Usine_B-000121,270.3,1.82,63.9,121,RUN
2023-10-26 09:57:40,P-Usine_B-000122,341.6,1.33,66.8,122,RUN
2023-10-26 09:58:34,P-Usine_B-000123,295.4,1.07,67.9,123,RUN
2023-10-26 10:01:50,P-Usine_B-000124,291.1,,71.8,124,RUN
2023-10-26 10:00:44,P-Usine_B-000125,268.7,0.68,76.3,125,RUN
2023-10-26 10:04:12,P-Usine_B-000126,297.9,1.08,72.4,126,RUN
2023-10-26 10:03:57,P-Usine_B-000127,342.7,1.18,68.1,127,RUN
2023-10-26 10:09:22,P-Usine_B-000128,270.8,1.65,71.3,128,RUN
2023-10-26 10:10:24,P-Usine_B-000129,308.5,0.79,59.4,129,RUN
2023-10-26 10:12:57,P-Usine_B-000130,251.4,1.18,66.4,130,RUN
2023-10-26 10:07:06,P-Usine_B-000131,266.5,1.59,58.9,131,RUN
2023-10-26 10:08:01,P-Usine_B-000132,293.6,1.4,61.0,132,RUN
2023-10-26 10:11:51,P-Usine_B-000133,313.6,0.62,56.2,133,RUN
