timestamp,part_id,couple_percage_nm,vitesse_rotation_rpm,nb_cycles_outil,usure_outil_pct,temperature_actuateur,micro_arrets
2023-10-26 08:13:21,P-Usine_B-000001,4.07,2485,2,0.2,37.2,1
2023-10-26 08:09:12,P-Usine_B-000002,4.87,2455,3,0.4,44.4,0
2023-10-26 08:08:43,P-Usine_B-000003,,2423,4,0.6,36.8,2
2023-10-26 08:16:54,P-Usine_B-000004,5.69,2564,5,0.8,42.9,0
2023-10-26 08:17:41,P-Usine_B-000005,5.13,2485,6,1.0,40.4,1
2023-10-26 08:13:10,P-Usine_B-000006,4.63,2480,7,1.2,35.4,2
2023-10-26 08:18:12,P-Usine_B-000007,4.77,2505,8,1.4,43.0,1
2023-10-26 08:13:47,P-Usine_B-000008,5.63,2615,9,1.6,37.8,1
2023-10-26 08:14:47,P-Usine_B-000009,4.23,2524,10,,36.5,0
2023-10-26 08:24:48,P-Usine_B-000010,5.57,2461,11,2.0,43.7,2
2023-10-26 08:19:19,P-Usine_B-000011,5.35,2531,12,2.2,41.7,2
2023-10-26 08:22:23,P-Usine_B-000012,5.13,2568,13,2.4,39.7,2
2023-10-26 08:19:37,P-Usine_B-000013,5.63,2430,14,2.6,37.2,1
2023-10-26 08:25:06,P-Usine_B-000014,4.88,2411,15,2.8,45.0,2
2023-10-26 08:28:02,P-Usine_B-000015,4.63,2423,16,3.0,36.0,1
2023-10-26 08:24:15,P-Usine_B-000016,4.53,2504,17,3.2,42.8,1
2023-10-26 08:25:27,P-Usine_B-000017,5.31,2425,18,3.4,41.3,1
2023-10-26 08:24:43,P-Usine_B-000018,5.45,2538,19,3.6,36.3,1
2023-10-26 08:33:03,P-Usine_B-000019,4.34,2458,20,3.8,37.2,0
2023-10-26 08:33:03,P-Usine_B-000019,4.34,2458,20,3.8,37.2,0
2023-10-26 08:34:16,P-Usine_B-000020,4.95,2500,21,4.0,41.8,0
2023-10-26 08:34:21,P-Usine_B-000021,4.15,2490,22,4.2,37.7,1
2023-10-26 08:36:00,P-Usine_B-000022,4.73,2486,23,4.4,40.4,0
2023-10-26 08:33:35,P-Usine_B-000023,4.04,2582,24,4.6,39.9,2
2023-10-26 08:35:18,P-Usine_B-000024,5.24,2561,25,4.8,40.5,2
2023-10-26 08:35:27,P-Usine_B-000025,5.15,2495,26,5.0,38.6,2
2023-10-26 08:34:17,P-Usine_B-000026,5.8,2569,27,5.2,40.0,1
2023-10-26 08:35:58,P-Usine_B-000027,5.79,2507,28,5.4,36.2,0
2023-10-26 08:39:17,P-Usine_B-000028,5.83,2484,29,5.6,35.3,0
2023-10-26 08:38:30,P-Usine_B-000029,5.93,2404,30,5.8,43.8,0
2023-10-26 08:35:43,P-Usine_B-000030,4.17,2450,31,6.0,44.4,1
2023-10-26 08:41:28,P-Usine_B-000031,4.57,2550,32,6.2,36.9,1
2023-10-26 08:40:10,P-Usine_B-000032,5.41,2416,33,6.4,39.4,0
2023-10-26 08:44:57,P-Usine_B-000033,5.33,2535,34,6.6,43.4,1
2023-10-26 08:42:25,P-Usine_B-000034,5.38,2551,35,6.8,40.9,1
2023-10-26 08:46:19,P-Usine_B-000035,5.42,2506,999.9,7.0,37.4,2
2023-10-26 08:49:59,P-Usine_B-000036,5.91,2551,37,7.2,42.4,0
2023-10-26 08:50:56,P-Usine_B-000037,4.07,2505,38,7.4,36.6,0
2023-10-26 08:49:28,P-Usine_B-000038,5.19,2471,39,7.6,43.0,0
2023-10-26 08:52:49,P-Usine_B-000039,5.74,2556,40,7.8,44.2,0
2023-10-26 08:53:12,P-Usine_B-000040,5.03,2498,41,8.0,35.8,1
2023-10-26 08:47:14,P-Usine_B-000041,4.16,2576,42,8.2,40.0,1
2023-10-26 08:49:18,P-Usine_B-000042,5.93,2489,43,8.4,35.5,1
2023-10-26 08:54:13,P-Usine_B-000043,4.67,2554,44,8.6,44.8,0
