timestamp,part_id,applied_pressure_bar,target_angle,actual_angle,hydraulic_temp_c
2023-10-26 07:55:59,P-Usine_B-000001,208.8,90.0,90.0,50.1
2023-10-26 07:58:11,P-Usine_B-000002,183.4,90.0,90.4,49.0
2023-10-26 07:59:17,P-Usine_B-000003,217.8,90.0,90.66,53.2
2023-10-26 08:05:31,P-Usine_B-000004,201.7,999.9,90.6,64.1
2023-10-26 08:05:22,P-Usine_B-000005,189.9,90.0,90.16,60.4
2023-10-26 08:01:04,P-Usine_B-000006,208.1,90.0,90.37,54.2
2023-10-26 08:01:59,P-Usine_B-000007,181.8,90.0,90.64,57.2
2023-10-26 08:09:37,P-Usine_B-000008,215.4,90.0,89.93,52.6
2023-10-26 08:08:09,P-Usine_B-000009,200.7,90.0,89.69,64.2
2023-10-26 08:07:45,P-Usine_B-000010,197.5,90.0,90.8,51.4
2023-10-26 08:05:52,P-Usine_B-000011,192.0,90.0,91.08,63.5
2023-10-26 08:07:26,P-Usine_B-000012,195.7,90.0,90.37,59.6
2023-10-26 08:13:51,P-Usine_B-000013,217.4,90.0,89.99,58.8
2023-10-26 08:09:42,P-Usine_B-000014,190.2,90.0,88.99,55.7
2023-10-26 08:18:54,P-Usine_B-000015,208.9,90.0,90.31,48.3
2023-10-26 08:18:54,P-Usine_B-000015,208.9,90.0,90.31,48.3
2023-10-26 08:18:08,P-Usine_B-000016,217.3,90.0,89.26,46.0
2023-10-26 08:17:10,P-Usine_B-000017,214.6,90.0,89.92,61.0
2023-10-26 08:20:40,P-Usine_B-000018,209.8,90.0,90.39,58.0
2023-10-26 08:20:55,P-Usine_B-000019,189.0,90.0,89.89,57.6
2023-10-26 08:23:42,P-Usine_B-000020,206.7,90.0,90.31,52.3
2023-10-26 08:16:55,P-Usine_B-000021,183.1,90.0,90.13,61.4
2023-10-26 08:17:05,P-Usine_B-000022,200.1,90.0,90.04,55.8
2023-10-26 08:18:18,P-Usine_B-000023,182.8,90.0,89.64,62.0
2023-10-26 08:26:02,P-Usine_B-000024,194.0,90.0,89.9,53.4
2023-10-26 08:26:02,P-Usine_B-000024,194.0,90.0,89.9,53.4
2023-10-26 08:22:34,P-Usine_B-000025,184.4,90.0,90.47,45.8
2023-10-26 08:24:29,P-Usine_B-000026,186.4,90.0,89.46,58.1
2023-10-26 08:22:36,P-Usine_B-000027,999.9,90.0,90.01,56.8
2023-10-26 08:31:18,P-Usine_B-000028,193.3,90.0,90.15,61.4
2023-10-26 08:28:42,P-Usine_B-000029,200.7,90.0,90.26,48.8
2023-10-26 08:30:53,P-Usine_B-000030,205.0,90.0,89.38,59.1
2023-10-26 08:34:48,P-Usine_B-000031,210.1,90.0,90.36,62.8
2023-10-26 08:29:01,P-Usine_B-000032,185.2,90.0,89.85,57.5
2023-10-26 08:31:45,P-Usine_B-000033,200.9,90.0,90.34,62.8
2023-10-26 08:31:45,P-Usine_B-000033,200.9,90.0,90.34,62.8
2023-10-26 08:34:42,P-Usine_B-000034,218.0,90.0,90.94,52.3
2023-10-26 08:39:37,P-Usine_B-000035,191.2,90.0,89.96,57.6
2023-10-26 08:33:09,P-Usine_B-000036,212.2,90.0,999.9,54.3
2023-10-26 08:41:15,P-Usine_B-000037,187.2,90.0,89.98,48.0
2023-10-26 08:41:25,P-Usine_B-000038,209.3,90.0,90.01,57.6
2023-10-26 08:42:57,P-Usine_B-000039,206.2,90.0,90.25,47.3
2023-10-26 08:37:33,P-Usine_B-000040,191.9,90.0,89.5,60.6
2023-10-26 08:36:47,P-Usine_B-000041,209.5,90.0,89.49,61.5
2023-10-26 08:46:36,P-Usine_B-000042,181.3,90.0,89.48,56.4
2023-10-26 08:39:50,P-Usine_B-000043,207.6,90.0,90.26,50.3
2023-10-26 08:47:16,P-Usine_B-000044,203.9,90.0,89.19,62.8
2023-10-26 08:49:15,P-Usine_B-000045,209.8,90.0,90.16,56.9
2023-10-26 08:49:28,P-Usine_B-000046,202.8,90.0,90.88,61.9
2023-10-26 08:45:24,P-Usine_B-000047,209.6,90.0,90.54,53.5
2023-10-26 08:43:24,P-Usine_B-000048,183.1,90.0,89.72,48.3
2023-10-26 08:45:28,P-Usine_B-000049,193.4,90.0,90.85,54.7
2023-10-26 08:47:32,P-Usine_B-000050,191.9,90.0,89.38,52.7
2023-10-26 08:48:05,P-Usine_B-000051,191.3,90.0,88.94,61.1
2023-10-26 08:48:30,P-Usine_B-000052,219.7,90.0,89.92,46.5
2023-10-26 08:57:58,P-Usine_B-000053,215.4,90.0,89.08,47.1
2023-10-26 08:49:31,P-Usine_B-000054,195.1,90.0,90.14,60.7
2023-10-26 08:55:35,P-Usine_B-000055,213.6,90.0,89.9,48.8
2023-10-26 08:56:28,P-Usine_B-000056,190.2,90.0,999.9,51.5
2023-10-26 08:57:21,P-Usine_B-000057,183.8,90.0,90.03,47.3
2023-10-26 08:58:06,P-Usine_B-000058,212.3,90.0,90.0,50.0
2023-10-26 08:59:58,P-Usine_B-000059,203.2,90.0,89.73,61.5
2023-10-26 09:00:07,P-Usine_B-000060,180.8,90.0,90.19,46.4
2023-10-26 08:56:00,P-Usine_B-000061,187.2,90.0,89.78,59.0
2023-10-26 09:00:59,P-Usine_B-000062,180.3,90.0,,53.3
2023-10-26 09:04:01,P-Usine_B-000063,182.9,90.0,90.1,49.7
2023-10-26 09:08:22,P-Usine_B-000064,217.7,90.0,89.66,59.5
2023-10-26 09:04:48,P-Usine_B-000065,201.6,90.0,90.5,50.7
2023-10-26 09:06:53,P-Usine_B-000066,205.7,90.0,90.01,58.7
2023-10-26 09:09:37,P-Usine_B-000067,206.5,90.0,89.84,50.6
2023-10-26 09:04:55,P-Usine_B-000068,203.5,90.0,89.31,55.9
2023-10-26 09:08:51,P-Usine_B-000069,210.7,90.0,89.36,57.6
2023-10-26 09:12:26,P-Usine_B-000070,198.5,90.0,90.57,55.7
2023-10-26 09:10:30,P-Usine_B-000071,198.3,90.0,90.02,51.9
2023-10-26 09:12:17,P-Usine_B-000072,186.5,90.0,89.89,52.2
2023-10-26 09:07:39,P-Usine_B-000073,196.0,90.0,90.3,54.3
2023-10-26 09:14:14,P-Usine_B-000074,181.1,90.0,89.67,57.0
2023-10-26 09:14:42,P-Usine_B-000075,182.0,90.0,89.9,59.0
2023-10-26 09:15:07,P-Usine_B-000076,217.3,90.0,89.24,55.9
2023-10-26 09:17:20,P-Usine_B-000077,207.9,90.0,89.65,62.8
2023-10-26 09:14:45,P-Usine_B-000078,197.3,90.0,89.61,61.6
2023-10-26 09:14:46,P-Usine_B-000079,212.5,90.0,89.65,48.7
2023-10-26 09:22:15,P-Usine_B-000080,194.2,90.0,,50.1
2023-10-26 09:21:07,P-Usine_B-000081,211.6,90.0,89.76,57.2
2023-10-26 09:22:39,P-Usine_B-000082,200.8,90.0,90.52,62.2
2023-10-26 09:25:28,P-Usine_B-000083,191.0,90.0,90.55,59.0
2023-10-26 09:23:37,P-Usine_B-000084,185.5,90.0,90.33,48.2
2023-10-26 09:22:59,P-Usine_B-000085,199.5,90.0,89.83,58.0
2023-10-26 09:26:43,P-Usine_B-000086,183.9,90.0,90.33,46.2
2023-10-26 09:26:43,P-Usine_B-000086,183.9,90.0,90.33,46.2
2023-10-26 09:24:02,P-Usine_B-000087,196.0,90.0,90.65,48.9
2023-10-26 09:32:04,P-Usine_B-000088,192.5,90.0,90.2,60.0
2023-10-26 09:24:49,P-Usine_B-000089,189.7,90.0,89.99,59.2
2023-10-26 09:33:06,P-Usine_B-000090,189.1,90.0,90.16,58.3
2023-10-26 09:27:16,P-Usine_B-000091,180.2,90.0,88.93,45.5
2023-10-26 09:33:00,P-Usine_B-000092,216.5,90.0,89.99,49.7
2023-10-26 09:36:44,P-Usine_B-000093,215.6,90.0,999.9,62.6
2023-10-26 09:31:33,P-Usine_B-000094,205.7,90.0,90.25,52.3
2023-10-26 09:34:16,P-Usine_B-000095,195.5,90.0,90.04,50.8
2023-10-26 09:35:54,P-Usine_B-000096,195.9,90.0,89.58,56.1
2023-10-26 09:31:52,P-Usine_B-000097,208.1,90.0,89.37,54.9
2023-10-26 09:34:41,P-Usine_B-000098,187.6,90.0,89.5,48.8
2023-10-26 09:39:52,P-Usine_B-000099,181.3,90.0,89.85,54.3
2023-10-26 09:34:43,P-Usine_B-000100,192.0,90.0,89.68,63.7
2023-10-26 09:37:17,P-Usine_B-000101,188.4,90.0,90.9,60.6
2023-10-26 09:39:47,P-Usine_B-000102,999.9,90.0,90.37,56.0
2023-10-26 09:38:03,P-Usine_B-000103,203.6,90.0,90.21,48.4
2023-10-26 09:41:30,P-Usine_B-000104,193.1,90.0,90.49,60.9
2023-10-26 09:47:10,P-Usine_B-000105,215.1,90.0,90.78,58.6
2023-10-26 09:41:02,P-Usine_B-000106,195.1,90.0,88.93,60.4
2023-10-26 09:42:39,P-Usine_B-000107,193.8,90.0,89.56,48.8
2023-10-26 09:42:39,P-Usine_B-000107,193.8,90.0,89.56,48.8
2023-10-26 09:43:04,P-Usine_B-000108,196.9,90.0,90.8,46.0
2023-10-26 09:50:20,P-Usine_B-000109,217.0,90.0,89.44,48.1
