timestamp,part_id,batch_id,temp_four_c,courbe_montee_ok,duree_palier_min,temps_refroidissement_min,durete_sortie_hrc,lot_four
2023-10-26 08:29:32,P-Usine_B-000001,OVEN-0001,848.1,OK,60.5,32.9,,OVEN-0001
2023-10-26 08:33:43,P-Usine_B-000002,OVEN-0001,854.2,OK,59.7,31.2,54.9,OVEN-0001
2023-10-26 08:30:57,P-Usine_B-000003,OVEN-0001,845.0,OK,58.8,28.3,57.5,OVEN-0001
2023-10-26 08:37:38,P-Usine_B-000004,OVEN-0001,844.1,OK,61.2,28.9,56.1,OVEN-0001
2023-10-26 08:36:37,P-Usine_B-000005,OVEN-0001,844.8,OK,60.4,30.9,60.1,OVEN-0001
2023-10-26 08:40:10,P-Usine_B-000006,OVEN-0001,844.9,OK,61.4,29.9,58.9,OVEN-0001
2023-10-26 08:36:35,P-Usine_B-000007,OVEN-0001,852.4,OK,61.0,30.7,57.8,OVEN-0001
2023-10-26 08:40:27,P-Usine_B-000008,OVEN-0001,851.9,OK,61.3,30.1,58.8,OVEN-0001
2023-10-26 08:41:05,P-Usine_B-000009,OVEN-0001,,OK,59.6,31.3,55.5,OVEN-0001
2023-10-26 08:43:05,P-Usine_B-000010,OVEN-0001,851.2,OK,60.2,27.6,58.6,OVEN-0001
2023-10-26 08:42:36,P-Usine_B-000011,OVEN-0001,846.6,OK,60.3,28.8,56.6,OVEN-0001
2023-10-26 08:42:36,P-Usine_B-000011,OVEN-0001,846.6,OK,60.3,28.8,56.6,OVEN-0001
2023-10-26 08:39:36,P-Usine_B-000012,OVEN-0001,848.7,OK,62.2,30.2,58.5,OVEN-0001
2023-10-26 08:42:49,P-Usine_B-000013,OVEN-0001,856.6,OK,60.6,29.0,55.8,OVEN-0001
2023-10-26 08:41:22,P-Usine_B-000014,OVEN-0001,844.1,OK,62.7,29.4,57.8,OVEN-0001
2023-10-26 08:42:29,P-Usine_B-000015,OVEN-0001,857.1,OK,59.4,26.3,58.6,OVEN-0001
2023-10-26 08:44:14,P-Usine_B-000016,OVEN-0001,852.2,OK,59.9,31.6,60.8,OVEN-0001
2023-10-26 08:46:29,P-Usine_B-000017,OVEN-0001,856.9,OK,59.0,24.3,55.0,OVEN-0001
2023-10-26 08:52:52,P-Usine_B-000018,OVEN-0001,849.9,OK,62.8,30.7,56.2,
2023-10-26 08:47:34,P-Usine_B-000019,OVEN-0001,858.6,OK,58.8,28.5,56.4,OVEN-0001
2023-10-26 08:54:23,P-Usine_B-000020,OVEN-0001,841.8,OK,61.5,31.5,57.6,OVEN-0001
2023-10-26 08:55:08,P-Usine_B-000021,OVEN-0001,851.9,OK,58.3,28.8,55.5,OVEN-0001
2023-10-26 08:54:02,P-Usine_B-000022,OVEN-0001,846.6,OK,62.0,28.1,56.6,OVEN-0001
2023-10-26 08:54:02,P-Usine_B-000022,OVEN-0001,846.6,OK,62.0,28.1,56.6,OVEN-0001
2023-10-26 08:57:57,P-Usine_B-000023,OVEN-0001,842.1,OK,60.5,30.6,57.0,OVEN-0001
2023-10-26 08:57:48,P-Usine_B-000024,OVEN-0001,849.1,OK,58.8,28.1,55.2,OVEN-0001
2023-10-26 08:52:42,P-Usine_B-000025,OVEN-0001,851.3,OK,60.2,30.3,57.8,OVEN-0001
2023-10-26 08:51:24,P-Usine_B-000026,OVEN-0001,854.6,OK,59.4,32.6,59.1,OVEN-0001
2023-10-26 09:00:55,P-Usine_B-000027,OVEN-0001,851.8,OK,61.4,30.9,58.3,OVEN-0001
2023-10-26 08:54:48,P-Usine_B-000028,OVEN-0001,853.3,OK,58.5,30.2,59.1,OVEN-0001
2023-10-26 09:01:21,P-Usine_B-000029,OVEN-0001,853.4,OK,61.7,26.4,56.8,OVEN-0001
2023-10-26 08:55:00,P-Usine_B-000030,OVEN-0001,847.5,OK,59.5,30.1,57.9,OVEN-0001
2023-10-26 08:57:09,P-Usine_B-000031,OVEN-0001,861.6,OK,59.8,28.4,56.6,OVEN-0001
2023-10-26 09:06:14,P-Usine_B-000032,OVEN-0001,854.6,OK,58.9,32.6,55.4,OVEN-0001
2023-10-26 08:58:40,P-Usine_B-000033,OVEN-0001,845.6,OK,60.2,32.5,57.3,OVEN-0001
2023-10-26 09:08:31,P-Usine_B-000034,OVEN-0001,851.6,OK,59.5,30.5,58.1,OVEN-0001
2023-10-26 09:05:10,P-Usine_B-000035,OVEN-0001,856.6,OK,56.3,32.0,55.6,OVEN-0001
2023-10-26 09:10:17,P-Usine_B-000036,OVEN-0001,843.7,OK,61.9,29.6,57.8,OVEN-0001
