timestamp,part_id,final_angle_measure,visual_score,is_conform,rebut_reason
2023-10-26 08:00:31,P-Usine_B-000001,999.9,10,1,
2023-10-26 08:05:42,P-Usine_B-000002,90.4,1,0,Visual Defect
2023-10-26 08:05:42,P-Usine_B-000002,90.4,1,0,Visual Defect
2023-10-26 08:04:45,P-Usine_B-000003,90.66,7,1,
2023-10-26 08:01:21,P-Usine_B-000004,90.6,4,1,
2023-10-26 08:00:19,P-Usine_B-000005,90.16,9,1,
2023-10-26 08:04:40,P-Usine_B-000006,90.37,8,1,
2023-10-26 08:07:20,P-Usine_B-000007,90.64,,0,Visual Defect
2023-10-26 08:03:52,P-Usine_B-000008,89.93,6,1,
2023-10-26 08:04:20,P-Usine_B-000009,89.69,8,1,999.9
2023-10-26 08:09:23,P-Usine_B-000010,90.8,7,1,
2023-10-26 08:14:51,,91.08,5,1,
2023-10-26 08:15:33,P-Usine_B-000012,90.37,1,0,Visual Defect
2023-10-26 08:12:07,P-Usine_B-000013,89.99,10,1,
2023-10-26 08:15:25,P-Usine_B-000014,88.99,10,1,
2023-10-26 08:11:21,P-Usine_B-000015,90.31,6,1,
2023-10-26 08:15:07,P-Usine_B-000016,89.26,2,0,Visual Defect
2023-10-26 08:14:40,P-Usine_B-000017,89.92,3,0,Visual Defect
2023-10-26 08:16:49,P-Usine_B-000018,90.39,5,1,
2023-10-26 08:15:52,P-Usine_B-000019,89.89,1,0,Visual Defect
2023-10-26 08:22:17,P-Usine_B-000020,90.31,10,1,
2023-10-26 08:16:28,P-Usine_B-000021,90.13,6,1,
2023-10-26 08:24:36,P-Usine_B-000022,90.04,1,0,Visual Defect
2023-10-26 08:24:36,P-Usine_B-000022,90.04,1,0,Visual Defect
2023-10-26 08:25:07,P-Usine_B-000023,89.64,9,1,
2023-10-26 08:19:59,P-Usine_B-000024,89.9,9,1,
2023-10-26 08:24:09,P-Usine_B-000025,90.47,9,1,
2023-10-26 08:26:39,P-Usine_B-000026,89.46,,1,
2023-10-26 08:22:55,P-Usine_B-000027,90.01,1,0,Visual Defect
2023-10-26 08:30:43,P-Usine_B-000028,90.15,4,1,
2023-10-26 08:27:18,P-Usine_B-000029,90.26,4,1,
2023-10-26 08:31:54,P-Usine_B-000030,89.38,2,0,Visual Defect
2023-10-26 08:29:37,P-Usine_B-000031,90.36,10,1,
2023-10-26 08:33:22,P-Usine_B-000032,89.85,6,1,
2023-10-26 08:35:01,P-Usine_B-000033,90.34,999.9,0,Visual Defect
2023-10-26 08:31:10,P-Usine_B-000034,90.94,5,1,
