timestamp,part_id,defaut_surface,microfissure,defaut_peinture,gravite_defaut,decision,photo_url
2023-10-26 08:47:38,P-Usine_B-000001,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:44:47,P-Usine_B-000002,OUI,NON,N/A,MINEUR,RETOUCHE,http://internal-storage/P-Usine_B-000002_vis.jpg
2023-10-26 08:47:16,P-Usine_B-000003,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:49:29,P-Usine_B-000004,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:47:28,P-Usine_B-000005,OUI,NON,N/A,MINEUR,RETOUCHE,http://internal-storage/P-Usine_B-000005_vis.jpg
2023-10-26 08:50:54,P-Usine_B-000006,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:50:53,P-Usine_B-000007,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:49:07,P-Usine_B-000008,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:50:17,P-Usine_B-000009,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:54:31,P-Usine_B-000010,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:59:56,P-Usine_B-000011,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:53:52,P-Usine_B-000012,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:53:17,P-Usine_B-000013,OUI,NON,N/A,MINEUR,RETOUCHE,http://internal-storage/P-Usine_B-000013_vis.jpg
2023-10-26 08:56:09,P-Usine_B-000014,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:03:47,P-Usine_B-000015,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:56:30,P-Usine_B-000016,NON,NON,N/A,AUCUN,OK,
2023-10-26 08:59:31,P-Usine_B-000017,OUI,NON,N/A,MINEUR,RETOUCHE,http://internal-storage/P-Usine_B-000017_vis.jpg
2023-10-26 09:06:59,P-Usine_B-000018,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:05:33,P-Usine_B-000019,NON,NON,999.9,AUCUN,OK,
2023-10-26 09:01:33,P-Usine_B-000020,OUI,NON,N/A,MINEUR,RETOUCHE,http://internal-storage/P-Usine_B-000020_vis.jpg
2023-10-26 09:06:23,P-Usine_B-000021,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:11:30,P-Usine_B-000022,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:03:44,P-Usine_B-000023,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:08:40,P-Usine_B-000024,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:14:50,P-Usine_B-000025,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:11:49,P-Usine_B-000026,OUI,NON,N/A,MAJEUR,REBUT,http://internal-storage/P-Usine_B-000026_vis.jpg
2023-10-26 09:10:50,P-Usine_B-000027,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:14:07,P-Usine_B-000028,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:17:03,P-Usine_B-000029,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:17:28,P-Usine_B-000030,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:17:33,P-Usine_B-000031,NON,NON,N/A,AUCUN,OK,
,P-Usine_B-000032,OUI,NON,N/A,MINEUR,RETOUCHE,http://internal-storage/P-Usine_B-000032_vis.jpg
2023-10-26 09:17:42,P-Usine_B-000033,OUI,NON,N/A,MINEUR,RETOUCHE,http://internal-storage/P-Usine_B-000033_vis.jpg
2023-10-26 09:15:26,P-Usine_B-000034,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:16:02,P-Usine_B-000035,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:23:47,P-Usine_B-000036,NON,NON,N/A,AUCUN,OK,
2023-10-26 09:21:35,P-Usine_B-000037,OUI,NON,N/A,MAJEUR,REBUT,http://internal-storage/P-Usine_B-000037_vis.jpg
