timestamp,part_id,num_serie,num_lot_prod,client,date_expedition,quantite_lot,certificat_conf
2023-10-26 08:48:58,P-Usine_B-000001,P-Usine_B-000001,L-Usine_B-202343,Dassault,2023-10-31,50,CERT-P-Usine_B-000001
2023-10-26 08:50:36,P-Usine_B-000003,P-Usine_B-000003,L-Usine_B-202343,Dassault,2023-10-27,50,CERT-P-Usine_B-000003
2023-10-26 08:51:45,P-Usine_B-000004,P-Usine_B-000004,L-Usine_B-202343,Airbus,2023-10-28,50,CERT-P-Usine_B-000004
2023-10-26 08:54:41,P-Usine_B-000006,P-Usine_B-000006,L-Usine_B-202343,Airbus,2023-10-27,50,CERT-P-Usine_B-000006
2023-10-26 08:55:50,P-Usine_B-000007,P-Usine_B-000007,L-Usine_B-202343,Dassault,2023-10-28,50,CERT-P-Usine_B-000007
2023-10-26 08:57:05,P-Usine_B-000008,P-Usine_B-000008,L-Usine_B-202343,Dassault,2023-10-29,50,CERT-P-Usine_B-000008
2023-10-26 08:56:13,P-Usine_B-000009,P-Usine_B-000009,L-Usine_B-202343,Airbus,2023-10-28,50,CERT-P-Usine_B-000009
2023-10-26 09:03:49,P-Usine_B-000010,P-Usine_B-000010,L-Usine_B-202343,Dassault,2023-10-30,50,CERT-P-Usine_B-000010
2023-10-26 08:59:44,P-Usine_B-000011,P-Usine_B-000011,L-Usine_B-202343,Dassault,2023-10-30,50,CERT-P-Usine_B-000011
2023-10-26 09:00:34,P-Usine_B-000012,P-Usine_B-000012,L-Usine_B-202343,Airbus,2023-10-29,50,CERT-P-Usine_B-000012
2023-10-26 09:06:08,P-Usine_B-000014,P-Usine_B-000014,L-Usine_B-202343,Safran,2023-10-28,50,CERT-P-Usine_B-000014
2023-10-26 09:03:29,P-Usine_B-000015,,L-Usine_B-202343,Dassault,2023-10-31,50,CERT-P-Usine_B-000015
2023-10-26 09:08:59,P-Usine_B-000016,P-Usine_B-000016,L-Usine_B-202343,Dassault,2023-10-30,50,CERT-P-Usine_B-000016
2023-10-26 09:10:46,P-Usine_B-000018,P-Usine_B-000018,L-Usine_B-202343,Safran,2023-10-29,50,CERT-P-Usine_B-000018
2023-10-26 09:13:17,P-Usine_B-000019,P-Usine_B-000019,L-Usine_B-202343,Safran,2023-10-29,50,CERT-P-Usine_B-000019
2023-10-26 09:08:48,P-Usine_B-000021,P-Usine_B-000021,L-Usine_B-202343,Dassault,2023-10-28,50,CERT-P-Usine_B-000021
2023-10-26 09:12:35,P-Usine_B-000022,P-Usine_B-000022,L-Usine_B-202343,Dassault,2023-10-29,50,CERT-P-Usine_B-000022
2023-10-26 09:17:30,P-Usine_B-000023,P-Usine_B-000023,L-Usine_B-202343,Safran,2023-10-29,50,CERT-P-Usine_B-000023
,P-Usine_B-000024,P-Usine_B-000024,L-Usine_B-202343,Dassault,2023-10-27,50,CERT-P-Usine_B-000024
2023-10-26 09:14:28,P-Usine_B-000025,P-Usine_B-000025,L-Usine_B-202343,Airbus,2023-10-28,50,CERT-P-Usine_B-000025
2023-10-26 09:16:35,P-Usine_B-000027,P-Usine_B-000027,L-Usine_B-202343,Safran,2023-10-31,50,CERT-P-Usine_B-000027
2023-10-26 09:13:05,P-Usine_B-000028,P-Usine_B-000028,L-Usine_B-202343,Safran,2023-10-29,50,CERT-P-Usine_B-000028
2023-10-26 09:14:49,P-Usine_B-000029,P-Usine_B-000029,L-Usine_B-202343,Safran,2023-10-28,50,CERT-P-Usine_B-000029
2023-10-26 09:22:11,P-Usine_B-000030,P-Usine_B-000030,L-Usine_B-202343,Airbus,2023-10-28,50,CERT-P-Usine_B-000030
2023-10-26 09:16:13,P-Usine_B-000031,P-Usine_B-000031,L-Usine_B-202343,Safran,2023-10-29,50,CERT-P-Usine_B-000031
2023-10-26 09:23:43,P-Usine_B-000034,P-Usine_B-000034,L-Usine_B-202343,Dassault,2023-10-30,50,CERT-P-Usine_B-000034
2023-10-26 09:20:50,P-Usine_B-000035,P-Usine_B-000035,999.9,Dassault,2023-10-28,50,CERT-P-Usine_B-000035
2023-10-26 09:28:32,P-Usine_B-000036,P-Usine_B-000036,L-Usine_B-202343,Safran,2023-10-29,50,CERT-P-Usine_B-000036
2023-10-26 09:25:19,P-Usine_B-000038,P-Usine_B-000038,L-Usine_B-202343,Safran,2023-10-28,50,CERT-P-Usine_B-000038
2023-10-26 09:24:49,P-Usine_B-000039,P-Usine_B-000039,L-Usine_B-202343,Safran,2023-10-27,50,CERT-P-Usine_B-000039
2023-10-26 09:35:50,P-Usine_B-000041,P-Usine_B-000041,L-Usine_B-202343,Dassault,2023-10-28,50,CERT-P-Usine_B-000041
2023-10-26 09:36:09,P-Usine_B-000043,P-Usine_B-000043,L-Usine_B-202343,Dassault,2023-10-27,50,CERT-P-Usine_B-000043
2023-10-26 09:33:23,P-Usine_B-000044,P-Usine_B-000044,L-Usine_B-202343,Airbus,2023-10-31,50,CERT-P-Usine_B-000044
2023-10-26 09:31:32,P-Usine_B-000045,P-Usine_B-000045,L-Usine_B-202343,Airbus,2023-10-27,50,CERT-P-Usine_B-000045
2023-10-26 09:37:12,P-Usine_B-000046,P-Usine_B-000046,L-Usine_B-202343,Dassault,2023-10-29,50,CERT-P-Usine_B-000046
2023-10-26 09:35:16,P-Usine_B-000047,P-Usine_B-000047,L-Usine_B-202343,Dassault,2023-10-29,50,CERT-P-Usine_B-000047
2023-10-26 09:35:16,P-Usine_B-000047,P-Usine_B-000047,L-Usine_B-202343,Dassault,2023-10-29,50,CERT-P-Usine_B-000047
2023-10-26 09:38:38,P-Usine_B-000048,P-Usine_B-000048,L-Usine_B-202343,Airbus,2023-10-29,50,CERT-P-Usine_B-000048
2023-10-26 09:39:04,P-Usine_B-000049,P-Usine_B-000049,L-Usine_B-202343,Airbus,2023-10-29,50,CERT-P-Usine_B-000049
2023-10-26 09:40:32,P-Usine_B-000051,P-Usine_B-000051,L-Usine_B-202343,Safran,2023-10-27,50,CERT-P-Usine_B-000051
2023-10-26 09:43:36,P-Usine_B-000052,P-Usine_B-000052,L-Usine_B-202343,Safran,2023-10-31,50,CERT-P-Usine_B-000052
2023-10-26 09:42:53,P-Usine_B-000053,P-Usine_B-000053,L-Usine_B-202343,Airbus,2023-10-29,50,CERT-P-Usine_B-000053
2023-10-26 09:43:09,P-Usine_B-000054,P-Usine_B-000054,L-Usine_B-202343,Safran,2023-10-31,50,CERT-P-Usine_B-000054
2023-10-26 09:40:50,P-Usine_B-000055,P-Usine_B-000055,L-Usine_B-202343,Airbus,2023-10-29,50,CERT-P-Usine_B-000055
2023-10-26 09:45:55,P-Usine_B-000056,P-Usine_B-000056,L-Usine_B-202343,Dassault,2023-10-29,50,CERT-P-Usine_B-000056
2023-10-26 09:42:19,P-Usine_B-000057,P-Usine_B-000057,L-Usine_B-202343,Safran,2023-10-27,50,CERT-P-Usine_B-000057
2023-10-26 09:53:03,P-Usine_B-000058,P-Usine_B-000058,L-Usine_B-202343,Airbus,2023-10-28,50,CERT-P-Usine_B-000058
2023-10-26 09:46:22,P-Usine_B-000059,P-Usine_B-000059,L-Usine_B-202343,Safran,2023-10-29,50,CERT-P-Usine_B-000059
